classifier;NSC-mean;NSC-std;SVM-RFE-mean;SVM-RFE-std;Beta-Binomial-mean;Beta-Binomial-std
SVM_Linear;0.548611111111;0.0497873564693;0.540277777778;0.0453573772022;0.592361111111;0.0423326407059
SVM_Poly;0.0736111111111;0.0282426380662;0.474305555556;0.0427295001748;0.227777777778;0.0115369775874
SVM_RBF;0.235416666667;0.0403973321451;0.439583333333;0.0264071574192;0.504861111111;0.05980291706
NSC;0.424305555556;0.0222222222222;0.565972222222;0.0493006648592;0.635416666667;0.0603008148503
Gaussian Naive Bayes;0.253472222222;0.0283789121413;0.584722222222;0.029265704869;0.618055555556;0.0672213613352
Random Forest;0.456944444444;0.0787390987948;0.554166666667;0.0508227068431;0.507638888889;0.0779326335393
Decision Tree;0.419444444444;0.0546541454721;0.543055555556;0.0555815911216;0.473611111111;0.0467191338654
