classifier;NSC-mean;NSC-std;SVM-RFE-mean;SVM-RFE-std;Beta-Binomial-mean;Beta-Binomial-std
SVM_Linear;0.530169295788;0.0521748570672;0.51881352093;0.0480894173143;0.60000227777;0.0399574929726
SVM_Poly;0.069423861036;0.0255061245357;0.448658119658;0.0370741377551;0.235240197721;0.010818992458
SVM_RBF;0.233151512928;0.0294807670662;0.421514334908;0.027501344434;0.485387141239;0.0577746714626
NSC;0.403847585593;0.0229581470231;0.55327613434;0.0535382399255;0.623480261568;0.0675584869545
Gaussian Naive Bayes;0.252321093509;0.0362303231769;0.555268913233;0.0408980464126;0.61039160401;0.0707852328733
Random Forest;0.44283656445;0.069919888127;0.549089574426;0.0515103660974;0.495483378383;0.080326263403
Decision Tree;0.416814484106;0.061925205864;0.538596910056;0.0589940217109;0.473001498845;0.0478068090014
