protein, frequency
Q99879_HIST1H2BM,1
Q9BQR3_PRSS27,4
Q9BRA2_TXNDC17,4
Q9BRF8_CPPED1,2
Q9HC84_MUC5B,5
Q9HD89_RETN,1
Q9NQ38_3_SPINK5,1
Q9UBC9_SPRR3,0
Q9UBG3_CRNN,2
Q9UBX7_3_KLK11,2
Q9UGM3_6_DMBT1,0
Q9UIV8_SERPINB13,1
Q9UKR3_KLK13,0
V9HW75_NUCB2,0
