N,acc_svm,acc_tree,acc_nsc,acc_naive_bayes,groups
2,0.933333333333,0.78,0.886666666667,0.846666666667,CON__P00761,P00330_ADH1
2,0.82,0.74,0.926666666667,0.766666666667,D6RF35_GC,P00330_ADH1
2,0.746666666667,0.78,0.92,0.846666666667,P00330_ADH1,P01042_2_KNG1
