*N,acc_tree,groups
2,0.944444444444,P55786_NPEPPS,P01023_A2M
2,0.944444444444,P0C0L5_C4B,P01023_A2M
2,0.944444444444,P07900_2_HSP90AA1,CON__P13645_KRT10
3,0.944444444444,P55786_NPEPPS,P01023_A2M,P00330_ADH1
3,0.944444444444,P0C0L5_C4B,P01023_A2M,P00924_ENO1
3,0.944444444444,P0C0L5_C4B,P01023_A2M,P07900_2_HSP90AA1
3,0.944444444444,P01023_A2M,P07900_2_HSP90AA1,CON__P13645_KRT10
