classifier;inserted_proteins-mean;inserted_proteins-std
SVM_Linear;0.738095238095;0.0
SVM_Poly;0.625;0.0
SVM_RBF;0.642857142857;0.0
NSC;0.642857142857;0.0
Gaussian Naive Bayes;0.690476190476;0.0
Random Forest;0.60119047619;0.0
Decision Tree;0.77380952381;0.0
