*N,acc_svm,acc_tree,acc_nsc,acc_naive_bayes,groups
1,0.690476190476,0.5,0.785714285714,0.738095238095,Pep1
1,0.650793650794,0.5,0.293650793651,0.603174603175,Pep2
1,0.690476190476,0.698412698413,0.746031746032,0.746031746032,Pep3
1,0.746031746032,0.555555555556,0.746031746032,0.698412698413,Pep4
1,0.698412698413,0.650793650794,0.507936507937,0.650793650794,Pep5
1,0.698412698413,0.642857142857,0.452380952381,0.452380952381,Pep6
1,0.698412698413,0.365079365079,0.603174603175,0.753968253968,Pep7
1,0.746031746032,0.746031746032,0.793650793651,0.793650793651,Pep8
1,0.698412698413,0.547619047619,0.746031746032,0.698412698413,Pep9
1,0.642857142857,0.746031746032,0.404761904762,0.642857142857,Pep10
1,0.746031746032,0.753968253968,0.753968253968,0.746031746032,Pep11
1,0.698412698413,0.642857142857,0.746031746032,0.698412698413,Pep12
1,0.698412698413,0.603174603175,0.5,0.650793650794,Pep13
1,0.698412698413,0.698412698413,0.507936507937,0.460317460317,Pep14
1,0.698412698413,0.698412698413,0.690476190476,0.698412698413,Pep15
1,0.698412698413,0.595238095238,0.650793650794,0.698412698413,Pep16
1,0.698412698413,0.547619047619,0.547619047619,0.698412698413,Pep17
2,0.690476190476,0.5,0.547619047619,0.595238095238,Pep1,Pep2
2,0.738095238095,0.595238095238,0.738095238095,0.84126984127,Pep1,Pep3
2,0.690476190476,0.5,0.738095238095,0.690476190476,Pep1,Pep4
2,0.690476190476,0.547619047619,0.785714285714,0.698412698413,Pep1,Pep5
2,0.690476190476,0.595238095238,0.690476190476,0.690476190476,Pep1,Pep6
2,0.690476190476,0.452380952381,0.793650793651,0.793650793651,Pep1,Pep7
2,0.785714285714,0.587301587302,0.738095238095,0.738095238095,Pep1,Pep8
2,0.746031746032,0.642857142857,0.84126984127,0.793650793651,Pep1,Pep9
2,0.642857142857,0.698412698413,0.738095238095,0.690476190476,Pep1,Pep10
2,0.746031746032,0.595238095238,0.84126984127,0.793650793651,Pep1,Pep11
2,0.746031746032,0.547619047619,0.793650793651,0.746031746032,Pep1,Pep12
2,0.690476190476,0.595238095238,0.738095238095,0.595238095238,Pep1,Pep13
2,0.642857142857,0.5,0.738095238095,0.404761904762,Pep1,Pep14
2,0.690476190476,0.642857142857,0.738095238095,0.690476190476,Pep1,Pep15
2,0.690476190476,0.5,0.690476190476,0.690476190476,Pep1,Pep16
2,0.690476190476,0.5,0.738095238095,0.738095238095,Pep1,Pep17
2,0.793650793651,0.555555555556,0.547619047619,0.603174603175,Pep2,Pep3
2,0.746031746032,0.5,0.603174603175,0.603174603175,Pep2,Pep4
2,0.650793650794,0.34126984127,0.349206349206,0.555555555556,Pep2,Pep5
2,0.595238095238,0.603174603175,0.5,0.5,Pep2,Pep6
2,0.603174603175,0.452380952381,0.555555555556,0.547619047619,Pep2,Pep7
2,0.746031746032,0.603174603175,0.603174603175,0.698412698413,Pep2,Pep8
2,0.650793650794,0.603174603175,0.555555555556,0.603174603175,Pep2,Pep9
2,0.595238095238,0.753968253968,0.452380952381,0.642857142857,Pep2,Pep10
2,0.698412698413,0.65873015873,0.555555555556,0.603174603175,Pep2,Pep11
2,0.698412698413,0.603174603175,0.650793650794,0.603174603175,Pep2,Pep12
2,0.650793650794,0.611111111111,0.404761904762,0.555555555556,Pep2,Pep13
2,0.555555555556,0.5,0.555555555556,0.507936507937,Pep2,Pep14
2,0.746031746032,0.650793650794,0.547619047619,0.547619047619,Pep2,Pep15
2,0.603174603175,0.34126984127,0.444444444444,0.603174603175,Pep2,Pep16
2,0.555555555556,0.555555555556,0.444444444444,0.603174603175,Pep2,Pep17
2,0.642857142857,0.698412698413,0.690476190476,0.642857142857,Pep3,Pep4
2,0.690476190476,0.746031746032,0.746031746032,0.753968253968,Pep3,Pep5
2,0.746031746032,0.690476190476,0.642857142857,0.547619047619,Pep3,Pep6
2,0.690476190476,0.698412698413,0.746031746032,0.746031746032,Pep3,Pep7
2,0.690476190476,0.746031746032,0.690476190476,0.738095238095,Pep3,Pep8
2,0.746031746032,0.650793650794,0.746031746032,0.746031746032,Pep3,Pep9
2,0.690476190476,0.753968253968,0.690476190476,0.642857142857,Pep3,Pep10
2,0.746031746032,0.698412698413,0.746031746032,0.746031746032,Pep3,Pep11
2,0.650793650794,0.547619047619,0.746031746032,0.746031746032,Pep3,Pep12
2,0.738095238095,0.555555555556,0.690476190476,0.690476190476,Pep3,Pep13
2,0.698412698413,0.698412698413,0.642857142857,0.404761904762,Pep3,Pep14
2,0.738095238095,0.650793650794,0.746031746032,0.690476190476,Pep3,Pep15
2,0.746031746032,0.650793650794,0.698412698413,0.738095238095,Pep3,Pep16
2,0.793650793651,0.650793650794,0.746031746032,0.690476190476,Pep3,Pep17
2,0.746031746032,0.5,0.698412698413,0.650793650794,Pep4,Pep5
2,0.746031746032,0.595238095238,0.698412698413,0.452380952381,Pep4,Pep6
2,0.642857142857,0.555555555556,0.698412698413,0.698412698413,Pep4,Pep7
2,0.746031746032,0.698412698413,0.746031746032,0.698412698413,Pep4,Pep8
2,0.746031746032,0.5,0.746031746032,0.650793650794,Pep4,Pep9
2,0.690476190476,0.801587301587,0.690476190476,0.642857142857,Pep4,Pep10
2,0.746031746032,0.555555555556,0.746031746032,0.698412698413,Pep4,Pep11
2,0.650793650794,0.595238095238,0.746031746032,0.642857142857,Pep4,Pep12
2,0.642857142857,0.547619047619,0.690476190476,0.698412698413,Pep4,Pep13
2,0.746031746032,0.555555555556,0.650793650794,0.460317460317,Pep4,Pep14
2,0.650793650794,0.753968253968,0.690476190476,0.698412698413,Pep4,Pep15
2,0.746031746032,0.5,0.698412698413,0.698412698413,Pep4,Pep16
2,0.793650793651,0.603174603175,0.746031746032,0.698412698413,Pep4,Pep17
2,0.698412698413,0.650793650794,0.452380952381,0.507936507937,Pep5,Pep6
2,0.698412698413,0.460317460317,0.555555555556,0.753968253968,Pep5,Pep7
2,0.746031746032,0.698412698413,0.746031746032,0.746031746032,Pep5,Pep8
2,0.698412698413,0.595238095238,0.603174603175,0.603174603175,Pep5,Pep9
2,0.642857142857,0.746031746032,0.452380952381,0.698412698413,Pep5,Pep10
2,0.746031746032,0.753968253968,0.706349206349,0.753968253968,Pep5,Pep11
2,0.698412698413,0.642857142857,0.746031746032,0.753968253968,Pep5,Pep12
