protein, counting from 17 of being in a group of size from 1 to 5 with acc higher or equal to 0
Pep1,1820
Pep2,1820
Pep3,1820
Pep4,1820
Pep5,1820
Pep6,1820
Pep7,1820
Pep8,1820
Pep9,1820
Pep10,1820
Pep11,1820
Pep12,1820
Pep13,1820
Pep14,1820
Pep15,1820
Pep16,1820
Pep17,1820
