*N,acc_svm,acc_tree,acc_nsc,acc_naive_bayes,groups
1,0.650793650794,0.386243386243,0.539682539683,0.650793650794,Pep1
1,0.698412698413,0.708994708995,0.349206349206,0.587301587302,Pep2
1,0.783068783069,0.650793650794,0.820105820106,0.783068783069,Pep3
1,0.73544973545,0.708994708995,0.772486772487,0.73544973545,Pep4
1,0.650793650794,0.719576719577,0.492063492063,0.57671957672,Pep5
1,0.698412698413,0.555555555556,0.73544973545,0.783068783069,Pep6
1,0.73544973545,0.650793650794,0.671957671958,0.73544973545,Pep7
1,0.698412698413,0.698412698413,0.724867724868,0.772486772487,Pep8
1,0.698412698413,0.746031746032,0.746031746032,0.698412698413,Pep9
1,0.603174603175,0.698412698413,0.492063492063,0.698412698413,Pep10
1,0.698412698413,0.650793650794,0.793650793651,0.746031746032,Pep11
1,0.746031746032,0.708994708995,0.746031746032,0.746031746032,Pep12
1,0.698412698413,0.518518518519,0.650793650794,0.73544973545,Pep13
1,0.698412698413,0.698412698413,0.587301587302,0.587301587302,Pep14
1,0.746031746032,0.661375661376,0.783068783069,0.698412698413,Pep15
1,0.698412698413,0.555555555556,0.507936507937,0.555555555556,Pep16
1,0.698412698413,0.539682539683,0.349206349206,0.555555555556,Pep17
2,0.687830687831,0.518518518519,0.407407407407,0.502645502646,Pep1,Pep2
2,0.783068783069,0.603174603175,0.783068783069,0.783068783069,Pep1,Pep3
2,0.698412698413,0.539682539683,0.73544973545,0.73544973545,Pep1,Pep4
2,0.650793650794,0.57671957672,0.417989417989,0.502645502646,Pep1,Pep5
2,0.650793650794,0.650793650794,0.661375661376,0.698412698413,Pep1,Pep6
2,0.624338624339,0.518518518519,0.634920634921,0.698412698413,Pep1,Pep7
2,0.698412698413,0.603174603175,0.698412698413,0.783068783069,Pep1,Pep8
2,0.698412698413,0.529100529101,0.708994708995,0.698412698413,Pep1,Pep9
2,0.650793650794,0.809523809524,0.624338624339,0.687830687831,Pep1,Pep10
2,0.698412698413,0.613756613757,0.746031746032,0.746031746032,Pep1,Pep11
2,0.746031746032,0.613756613757,0.746031746032,0.746031746032,Pep1,Pep12
2,0.57671957672,0.613756613757,0.539682539683,0.698412698413,Pep1,Pep13
2,0.698412698413,0.386243386243,0.539682539683,0.650793650794,Pep1,Pep14
2,0.746031746032,0.634920634921,0.746031746032,0.698412698413,Pep1,Pep15
2,0.698412698413,0.650793650794,0.566137566138,0.650793650794,Pep1,Pep16
2,0.698412698413,0.386243386243,0.465608465608,0.613756613757,Pep1,Pep17
2,0.783068783069,0.544973544974,0.783068783069,0.746031746032,Pep2,Pep3
2,0.698412698413,0.661375661376,0.73544973545,0.73544973545,Pep2,Pep4
2,0.650793650794,0.613756613757,0.396825396825,0.539682539683,Pep2,Pep5
2,0.698412698413,0.708994708995,0.661375661376,0.708994708995,Pep2,Pep6
2,0.661375661376,0.698412698413,0.719576719577,0.624338624339,Pep2,Pep7
2,0.698412698413,0.661375661376,0.687830687831,0.73544973545,Pep2,Pep8
2,0.698412698413,0.708994708995,0.671957671958,0.587301587302,Pep2,Pep9
2,0.603174603175,0.677248677249,0.492063492063,0.587301587302,Pep2,Pep10
2,0.698412698413,0.661375661376,0.793650793651,0.746031746032,Pep2,Pep11
2,0.746031746032,0.698412698413,0.746031746032,0.746031746032,Pep2,Pep12
2,0.661375661376,0.613756613757,0.539682539683,0.624338624339,Pep2,Pep13
2,0.698412698413,0.708994708995,0.587301587302,0.587301587302,Pep2,Pep14
2,0.746031746032,0.756613756614,0.793650793651,0.698412698413,Pep2,Pep15
2,0.698412698413,0.518518518519,0.396825396825,0.444444444444,Pep2,Pep16
2,0.698412698413,0.624338624339,0.349206349206,0.444444444444,Pep2,Pep17
2,0.783068783069,0.624338624339,0.820105820106,0.783068783069,Pep3,Pep4
2,0.783068783069,0.724867724868,0.772486772487,0.820105820106,Pep3,Pep5
2,0.820105820106,0.687830687831,0.783068783069,0.783068783069,Pep3,Pep6
2,0.783068783069,0.650793650794,0.783068783069,0.820105820106,Pep3,Pep7
2,0.783068783069,0.613756613757,0.820105820106,0.820105820106,Pep3,Pep8
2,0.783068783069,0.746031746032,0.820105820106,0.783068783069,Pep3,Pep9
2,0.783068783069,0.650793650794,0.772486772487,0.820105820106,Pep3,Pep10
2,0.746031746032,0.529100529101,0.783068783069,0.783068783069,Pep3,Pep11
2,0.746031746032,0.566137566138,0.783068783069,0.783068783069,Pep3,Pep12
2,0.783068783069,0.518518518519,0.746031746032,0.783068783069,Pep3,Pep13
2,0.783068783069,0.603174603175,0.820105820106,0.783068783069,Pep3,Pep14
2,0.746031746032,0.708994708995,0.783068783069,0.73544973545,Pep3,Pep15
