"","id","name","12.5fmol-score","25fmol-score","50fmol-score"
"78","Q8TAX7_MUC7","Q8TAX7_MUC7","0.1536","-0.2115","0.0813"
"79","CON__P08779_KRT16","CON__P08779_KRT16","0.2107","-0.1396","-0.0556"
"80","P00738_HP","P00738_HP","-0.2104","0.146","0.0482"
"81","P20160_AZU1","P20160_AZU1","0.2085","-0.1716","-0.0179"
"82","P08603_CFH","P08603_CFH","-0.208","0.1943","-0.0079"
"83","P00489_GPB","P00489_GPB","-0.1999","-0.0056","0.2061"
"84","CON__P35527_KRT9","CON__P35527_KRT9","-0.0338","0.2055","-0.1945"
"85","P02647_APOA1","P02647_APOA1","-0.205","0.1723","0.0136"
"86","P30101_PDIA3","P30101_PDIA3","0.2022","-0.1774","-0.0051"
"87","E7EX29_YWHAZ","E7EX29_YWHAZ","0.1253","0.0691","-0.202"
"88","CON__P13646-1","CON__P13646-1","0.183","0.0158","-0.2006"
"89","Q8TDL5_BPIFB1","Q8TDL5_BPIFB1","0.1977","-0.0219","-0.1734"
"90","Q02487_DSC2","Q02487_DSC2","0.1966","-0.0722","-0.1164"
"91","P22532_SPRR2D","P22532_SPRR2D","-0.0887","-0.0966","0.1961"
"92","E5RHG6_TBCA","E5RHG6_TBCA","-0.1934","0.1045","0.0773"
"93","P22314_UBA1","P22314_UBA1","0.1932","-0.1585","-0.0171"
"94","Q14508_WFDC2","Q14508_WFDC2","0.1068","0.077","-0.1924"
"95","P35579_MYH9","P35579_MYH9","0.1915","-0.1117","-0.0674"
"96","P12814-3_ACTN1","P12814-3_ACTN1","0.1235","0.0587","-0.1888"
"97","P18510-2_IL1RN","P18510-2_IL1RN","0.1486","0.0341","-0.1865"
"98","P31146_CORO1A","P31146_CORO1A","0.1855","-0.0546","-0.1249"
"99","P62805_HIST1H4A","P62805_HIST1H4A","0.1805","0.0044","-0.1854"
"100","P68431_HIST1H3A","P68431_HIST1H3A","0.14","0.0407","-0.1853"
"101","B1AK88_CAPZB","B1AK88_CAPZB","0.1558","0.0264","-0.1851"
"102","P0C0L5_C4B","P0C0L5_C4B","0.0211","0.1472","-0.1847"
"103","Q9UBX7-3_KLK11","Q9UBX7-3_KLK11","0.1827","-0.0041","-0.178"
"104","P20061_TCN1","P20061_TCN1","-0.1807","0.0711","0.1017"
"105","P12273_PIP","P12273_PIP","0.1538","-0.1797","0.0459"
"106","P02787_TF","P02787_TF","-0.1797","0.1349","0.0298"
"107","O15511-2_ARPC5","O15511-2_ARPC5","-0.1222","-0.0504","0.1782"
"108","P68032_ACTC1","P68032_ACTC1","-0.1778","0.1064","0.0595"
"109","P04792_HSPB1","P04792_HSPB1","0.1705","-0.1772","0.0264"
"110","Q9HC84_MUC5B","Q9HC84_MUC5B","0.1544","-0.1756","0.0407"
"111","P11413-2_G6PD","P11413-2_G6PD","0.1565","0.0172","-0.1756"
"112","P62942_FKBP1A","P62942_FKBP1A","-0.1741","0.1085","0.0535"
"113","P01877_IGHA2","P01877_IGHA2","0.1092","-0.1738","0.0839"
"114","P23284_PPIB","P23284_PPIB","0.1734","-0.099","-0.0634"
"115","H0YBX6_UBE2V2","H0YBX6_UBE2V2","-0.1718","0.0323","0.1359"
"116","P00450_CP","P00450_CP","-0.1715","0.1113","0.0479"
"117","P01861_IGHG4","P01861_IGHG4","-0.17","0.17","-0.0189"
"118","P02790_HPX","P02790_HPX","-0.1697","0.1352","0.0195"
"119","P59665_DEFA1","P59665_DEFA1","0.0993","-0.1692","0.0887"
"120","P01767","P01767","0.1498","0.0172","-0.1689"
"121","P02750_LRG1","P02750_LRG1","-0.1672","0.1553","-0.0054"
"122","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","-0.1669","0.1594","-0.0103"
"123","A8K2U0_A2ML1","A8K2U0_A2ML1","0.129","0.0331","-0.1658"
"124","P16401_HIST1H1B","P16401_HIST1H1B","0.07","-0.1651","0.1134"
"125","C9JC84_FGG","C9JC84_FGG","-0.1625","0.0694","0.0854"
"126","P05164-3_MPO","P05164-3_MPO","0.1614","-0.0625","-0.0919"
"127","A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","0.161","-0.0528","-0.1023"
"128","Q9NZL9_MAT2B","Q9NZL9_MAT2B","0.1523","-0.1606","0.0261"
"129","P40121_CAPG","P40121_CAPG","0.0958","-0.1598","0.0817"
"130","P04040_CAT","P04040_CAT","0.1594","-0.0305","-0.1255"
"131","P55058_PLTP","P55058_PLTP","0.0714","-0.1588","0.1051"
"132","P0C0S8_HIST1H2AG","P0C0S8_HIST1H2AG","0.1289","0.0263","-0.1582"
"133","P04083_ANXA1","P04083_ANXA1","0.1028","-0.1553","0.0697"
"134","P00924_ENO1","P00924_ENO1","-0.1415","-0.0122","0.1551"
"135","Q32Q12_NME1-NME2","Q32Q12_NME1-NME2","0.0848","-0.154","0.0863"
"136","P01859_IGHG2","P01859_IGHG2","-0.1529","0.132","0.0063"
"137","P01616","P01616","-0.011","-0.1262","0.1512"
"138","Q99536_VAT1","Q99536_VAT1","0.0777","-0.1503","0.0893"
"139","Q9BRA2_TXNDC17","Q9BRA2_TXNDC17","0.0397","0.099","-0.1497"
"140","O00299_CLIC1","O00299_CLIC1","0.0912","-0.1483","0.0736"
"141","P01024_C3","P01024_C3","-0.1459","0.0965","0.0387"
"142","O95336_PGLS","O95336_PGLS","0.1455","-0.1139","-0.019"
"143","Q9UIV8_SERPINB13","Q9UIV8_SERPINB13","0.1448","-0.1449","0.0161"
"144","D6RF35_GC","D6RF35_GC","-0.1442","0.1159","0.0154"
"145","P31949_S100A11","P31949_S100A11","-0.1439","0.0648","0.0719"
"146","P61769_B2M","P61769_B2M","0.1435","-0.0616","-0.0751"
"147","P06331","P06331","0.143","-0.0734","-0.0615"
"148","A0A087WV47_IGHG1","A0A087WV47_IGHG1","-0.1426","0.1362","-0.0087"
"149","Q9BRF8_CPPED1","Q9BRF8_CPPED1","0.0807","-0.1418","0.0769"
"150","P23280_CA6","P23280_CA6","0.14","-0.0841","-0.0465"
"151","P00491_PNP","P00491_PNP","0.0628","0.068","-0.1384"
"152","P16403_HIST1H1C","P16403_HIST1H1C","-0.1382","0.0583","0.0735"
"153","P78417_GSTO1","P78417_GSTO1","0.0461","0.0823","-0.1376"
"154","Q8N4F0_BPIFB2","Q8N4F0_BPIFB2","0.0884","-0.1368","0.0636"
"155","O15145_ARPC3","O15145_ARPC3","0.0626","0.0667","-0.1367"
"156","P29508_SERPINB3","P29508_SERPINB3","0.1365","-0.0779","-0.05"
"157","Q9HD89_RETN","Q9HD89_RETN","0.1344","-0.0888","-0.0357"
"158","CON__P01966","CON__P01966","0.0157","-0.1328","0.1319"
"159","P23381_WARS","P23381_WARS","-0.0909","0.1317","-0.0555"
"160","Q14697-2_GANAB","Q14697-2_GANAB","0.0651","0.0599","-0.1316"
"161","P01717","P01717","0.0537","-0.1315","0.0924"
"162","Q06830_PRDX1","Q06830_PRDX1","0.1238","-0.1301","0.0207"
"163","Q14847_LASP1","Q14847_LASP1","0.0771","-0.1298","0.0672"
"164","P06870_KLK1","P06870_KLK1","0.0707","-0.129","0.0727"
"165","P19823_ITIH2","P19823_ITIH2","-0.0808","0.1228","-0.0557"
"166","P14174_MIF","P14174_MIF","0.0143","0.0971","-0.1222"
"167","CON__P02768-1_ALB","CON__P02768-1_ALB","-0.122","0.1041","0.0064"
"168","P02675_FGB","P02675_FGB","-0.1218","0.0729","0.0407"
"169","P02753_RBP4","P02753_RBP4","-0.108","-0.0114","0.1206"
"170","A0A0A0MTS2_GPI","A0A0A0MTS2_GPI","0.0764","0.0384","-0.1191"
"171","P10909-2_CLU","P10909-2_CLU","-0.1132","0.119","-0.019"
"172","Q9UBC9_SPRR3","Q9UBC9_SPRR3","0.1024","-0.1144","0.0248"
"173","P31947_SFN","P31947_SFN","0.1136","-0.0747","-0.0306"
"174","P61158_ACTR3","P61158_ACTR3","0.0953","-0.1127","0.03"
"175","P29401-2_TKT","P29401-2_TKT","0.0827","0.0264","-0.112"
"176","A0A087X2C0","A0A087X2C0","-0.0087","0.1084","-0.1118"
"177","P08311_CTSG","P08311_CTSG","0.1114","-0.0955","-0.0052"
"178","P61626_LYZ","P61626_LYZ","0.0444","-0.1093","0.077"
"179","P52566_ARHGDIB","P52566_ARHGDIB","0.0249","-0.1084","0.0956"
"180","P08246_ELANE","P08246_ELANE","-0.0421","0.1068","-0.0765"
"181","P01034_CST3","P01034_CST3","0.1059","-0.0583","-0.0411"
"182","P01876_IGHA1","P01876_IGHA1","0.0671","-0.1054","0.05"
"183","P01593","P01593","0.0681","-0.1053","0.0489"
"184","P06576_ATP5B","P06576_ATP5B","0.0266","0.0705","-0.105"
