protein, probability of being in a group of size from 1 to 3 with acc higher or equal to 0.952380952381
P04792_HSPB1,0.0
P01009_SERPINA1,0.0
P00330_ADH1,0.0
P09228_CST2,0.0
CON__P00761,0.0
