protein,protein frequency,X12.5fmol_C1,X12.5fmol_C2,X12.5fmol_C3,X12.5fmol_C4,X12.5fmol_C5,X12.5fmol_Ro,X12.5fmol_C8,X12.5fmol_C9,X12.5fmol_C10,X25fmol_semtumorS36,X25fmol_semtumorS09,X25fmol_semtumorS40,X25fmol_semtumorS49,X25fmol_semtumorS55,X25fmol_semtumorS57,X25fmol_semtumorS61,X25fmol_semtumorS64,X25fmol_semtumorS68,X25fmol_semtumorT16,X50fmol_T1T2S17,X50fmol_T1T2S57,X50fmol_T1T2S77,X50fmol_T1T2S78,X50fmol_T1T2S79,X50fmol_T1T2T12,X50fmol_T1T2T20,X50fmol_T1T2T22,X50fmol_T1T2T23,X100fmol_T3T4S44,X100fmol_T3T4S45,X100fmol_T3T4S81,X100fmol_T3T4S82,X100fmol_T3T4T13,X100fmol_T3T4T2,X100fmol_T3T4T5,X100fmol_T3T4T65,X100fmol_T3T4T9,X100fmol_T3T4S32
B7Z6Z4_MYL6        ,2043               ,24.20911           ,24.34658           ,25.67374           ,24.86962           ,22.33325           ,25.99512           ,24.4891            ,23.92234           ,24.81137           ,22.62471           ,22.32636           ,25.0083            ,23.62745           ,23.94387           ,21.74604           ,20.77475           ,23.73995           ,22.96763           ,23.18615           ,24.12707           ,24.8768            ,22.87243           ,22.21021           ,22.19337           ,23.38337           ,22.32089           ,23.72338           ,0                  ,22.15993           ,23.67422           ,22.59933           ,22.71547           ,25.11652           ,24.20411           ,27.06784           ,24.88199           ,26.16019           ,25.23206           
B7ZKJ8_ITIH4       ,1651               ,0                  ,0                  ,20.87815           ,21.01079           ,0                  ,20.24354           ,21.80286           ,21.10194           ,21.55749           ,23.61717           ,22.29821           ,22.9864            ,22.12956           ,23.15914           ,21.27844           ,22.74714           ,0                  ,20.95653           ,23.34503           ,24.16507           ,23.04497           ,22.38187           ,0                  ,0                  ,23.51665           ,22.99326           ,0                  ,22.01025           ,23.47581           ,21.59031           ,0                  ,22.75493           ,24.99218           ,22.76939           ,23.33688           ,25.17035           ,22.32567           ,20.84161           
P40925_3_MDH1      ,0                  ,21.51547           ,21.72234           ,23.32965           ,22.80239           ,21.8314            ,22.32534           ,21.38853           ,23.36199           ,21.29972           ,23.11922           ,22.16414           ,21.38105           ,21.93481           ,0                  ,21.6847            ,22.35197           ,22.20192           ,24.56116           ,0                  ,21.7154            ,22.82906           ,21.45959           ,21.49248           ,22.40673           ,22.03419           ,21.99179           ,21.03872           ,22.35132           ,22.34943           ,22.74174           ,22.10441           ,21.90334           ,20.449             ,0                  ,0                  ,22.97521           ,0                  ,20.37465           
C9JC84_FGG         ,545                ,21.64302           ,23.57681           ,22.26353           ,22.4901            ,21.82842           ,23.96693           ,25.34908           ,24.67314           ,24.71618           ,27.09325           ,22.67392           ,24.90834           ,24.46457           ,26.57888           ,24.22472           ,26.15468           ,24.2059            ,24.71167           ,24.95965           ,27.73208           ,24.94078           ,27.12366           ,24.36606           ,23.23055           ,26.19334           ,24.09523           ,24.59958           ,22.68545           ,23.37425           ,24.28079           ,23.99774           ,26.18408           ,27.42037           ,24.82041           ,27.01169           ,27.42694           ,25.70504           ,24.52289           
P19971_2_TYMP      ,0                  ,22.09136           ,0                  ,20.5893            ,23.46862           ,0                  ,21.51735           ,19.95872           ,22.239             ,21.9642            ,21.76765           ,22.57161           ,21.54227           ,23.85899           ,21.92289           ,0                  ,0                  ,21.61401           ,25.68137           ,0                  ,22.27418           ,22.71754           ,20.39383           ,0                  ,21.97719           ,0                  ,23.04347           ,21.9929            ,0                  ,20.36025           ,21.42747           ,23.22015           ,22.51487           ,23.87615           ,0                  ,21.51494           ,21.64755           ,21.46702           ,21.10239           
Q9UG63_2_ABCF2     ,12                 ,22.91097           ,0                  ,21.21697           ,0                  ,23.13921           ,18.59813           ,0                  ,0                  ,21.65189           ,0                  ,24.19551           ,23.65578           ,0                  ,23.1308            ,0                  ,23.11391           ,0                  ,22.57194           ,0                  ,0                  ,22.27213           ,0                  ,0                  ,23.0605            ,24.34868           ,0                  ,23.76699           ,23.43148           ,24.51671           ,24.18139           ,0                  ,23.80853           ,22.38071           ,24.37994           ,22.68166           ,23.01791           ,21.09867           ,23.2199            
P30838_ALDH3A1     ,605                ,24.68491           ,22.35404           ,24.60156           ,23.54804           ,22.91369           ,22.87094           ,22.93081           ,23.96429           ,21.58128           ,22.60019           ,21.84671           ,0                  ,22.99592           ,20.16815           ,21.81124           ,22.55885           ,0                  ,22.38369           ,20.33843           ,0                  ,22.40684           ,22.24835           ,23.99947           ,0                  ,0                  ,23.10127           ,20.95383           ,25.48108           ,21.65009           ,22.88928           ,21.97008           ,21.09957           ,21.77314           ,21.64957           ,20.5285            ,0                  ,24.17934           ,22.34397           
C9JV77_AHSG        ,376                ,0                  ,24.08942           ,23.16383           ,23.74735           ,22.80004           ,25.64743           ,23.34557           ,22.82468           ,22.33789           ,26.60513           ,24.32217           ,26.35855           ,22.56065           ,25.29747           ,25.8646            ,22.5142            ,21.36602           ,22.46727           ,25.43629           ,24.33252           ,25.19073           ,25.77075           ,21.38269           ,21.63786           ,24.64741           ,25.48075           ,23.88586           ,27.80169           ,26.33882           ,23.74438           ,0                  ,25.77643           ,23.34841           ,23.1005            ,22.53528           ,25.76111           ,23.28546           ,22.29395           
CON__P00761        ,227                ,32.16288           ,31.04661           ,30.05905           ,30.53742           ,31.96575           ,30.99301           ,31.30187           ,31.34752           ,30.37026           ,30.02314           ,31.8388            ,30.4342            ,30.52878           ,30.59201           ,29.9194            ,31.12872           ,30.60594           ,28.33981           ,30.44243           ,31.73925           ,30.05194           ,31.46349           ,32.15488           ,32.18881           ,32.51883           ,31.86437           ,31.3714            ,31.36781           ,32.53013           ,31.80363           ,32.03325           ,31.34562           ,28.94137           ,31.8178            ,28.7855            ,29.51124           ,29.34047           ,30.32077           
CON__P01966        ,0                  ,24.53303           ,22.98134           ,23.41364           ,27.08081           ,23.8532            ,0                  ,27.83425           ,26.49381           ,31.20909           ,27.85258           ,28.50275           ,27.43793           ,26.61625           ,26.26247           ,24.16438           ,0                  ,24.36513           ,26.77304           ,27.23068           ,27.4999            ,26.07492           ,27.53059           ,27.78619           ,22.21552           ,29.022             ,28.26781           ,25.63721           ,26.59406           ,26.15731           ,25.89539           ,0                  ,28.84347           ,28.05982           ,32.57648           ,25.00616           ,28.94184           ,22.87085           ,26.37036           
