protein,protein frequency,X12.5fmol_C1,X12.5fmol_C2,X12.5fmol_C3,X12.5fmol_C4,X12.5fmol_C5,X12.5fmol_Ro,X12.5fmol_C8,X12.5fmol_C9,X12.5fmol_C10,X25fmol_semtumorS36,X25fmol_semtumorS09,X25fmol_semtumorS40,X25fmol_semtumorS49,X25fmol_semtumorS55,X25fmol_semtumorS57,X25fmol_semtumorS61,X25fmol_semtumorS64,X25fmol_semtumorS68,X25fmol_semtumorT16,X50fmol_T1T2S17,X50fmol_T1T2S57,X50fmol_T1T2S77,X50fmol_T1T2S78,X50fmol_T1T2S79,X50fmol_T1T2T12,X50fmol_T1T2T20,X50fmol_T1T2T22,X50fmol_T1T2T23,X100fmol_T3T4S44,X100fmol_T3T4S45,X100fmol_T3T4S81,X100fmol_T3T4S82,X100fmol_T3T4T13,X100fmol_T3T4T2,X100fmol_T3T4T5,X100fmol_T3T4T65,X100fmol_T3T4T9,X100fmol_T3T4S32
P55786_NPEPPS      ,614                ,19.91412           ,20.02093           ,21.51138           ,22.50928           ,19.46535           ,0                  ,20.37411           ,21.11439           ,21.08232           ,21.45066           ,0                  ,21.20508           ,21.89312           ,20.90338           ,0                  ,19.9631            ,20.61872           ,21.82664           ,20.4208            ,19.50849           ,22.11137           ,19.41351           ,19.59133           ,21.86408           ,0                  ,20.32586           ,20.29379           ,0                  ,20.52879           ,21.58962           ,20.64245           ,19.53939           ,20.69064           ,19.98579           ,20.43827           ,21.33254           ,21.1784            ,20.76336           
O00764_PDXK        ,112                ,18.8972            ,0                  ,19.17616           ,20.07248           ,18.98521           ,19.98899           ,20.21514           ,18.44342           ,21.49395           ,17.09166           ,18.27248           ,19.69212           ,0                  ,20.08822           ,0                  ,0                  ,20.58013           ,19.23727           ,20.23888           ,19.77705           ,19.60616           ,18.42821           ,17.58652           ,0                  ,0                  ,19.36372           ,18.56436           ,0                  ,0                  ,20.58573           ,0                  ,17.3784            ,21.3103            ,19.97603           ,19.25592           ,21.55464           ,20.30552           ,20.81746           
P0C0L5_C4B         ,5184               ,23.09373           ,22.07401           ,23.20477           ,23.1503            ,21.88584           ,23.78576           ,22.68507           ,22.55178           ,22.97666           ,25.86235           ,23.02968           ,23.3434            ,24.04093           ,23.23386           ,24.8124            ,24.22501           ,21.78624           ,25.78132           ,24.06587           ,23.64878           ,25.85062           ,23.48726           ,22.94592           ,21.77764           ,23.08234           ,23.28037           ,23.64988           ,22.72945           ,24.80828           ,22.93252           ,24.51785           ,22.57457           ,25.45798           ,23.67142           ,25.78908           ,25.10057           ,24.02454           ,23.5636            
P22079_LPO         ,489                ,27.2525            ,27.94101           ,25.81573           ,27.81562           ,28.22972           ,28.44656           ,26.76534           ,27.66214           ,26.42894           ,24.48769           ,25.66452           ,25.0038            ,27.54907           ,26.86726           ,27.68184           ,27.73085           ,27.73538           ,28.39354           ,26.76825           ,27.2732            ,25.84498           ,26.40991           ,27.54937           ,27.86402           ,25.72195           ,26.19738           ,25.51581           ,25.29288           ,27.391             ,25.29246           ,27.66817           ,26.74996           ,25.9406            ,24.08837           ,24.88413           ,26.45158           ,26.74175           ,25.44228           
F5H5D3_TUBA1C      ,26                 ,22.31349           ,22.1531            ,23.18241           ,0                  ,0                  ,23.24413           ,20.92194           ,0                  ,22.61831           ,23.20243           ,21.72817           ,22.74016           ,0                  ,0                  ,21.97767           ,22.38353           ,0                  ,21.46946           ,0                  ,22.76314           ,23.96049           ,21.85316           ,0                  ,21.60454           ,0                  ,22.14889           ,21.76664           ,0                  ,0                  ,22.52569           ,0                  ,23.39872           ,22.4342            ,22.75007           ,24.239             ,21.49263           ,24.37425           ,23.97386           
Q14697_2_GANAB     ,1389               ,0                  ,21.63763           ,21.15931           ,21.80329           ,21.5792            ,21.83815           ,21.16441           ,0                  ,21.56402           ,20.70978           ,0                  ,21.24133           ,21.014             ,20.69447           ,21.11946           ,21.11591           ,21.26247           ,21.1943            ,20.98961           ,21.49531           ,21.29681           ,20.72075           ,20.65009           ,22.35762           ,21.02655           ,0                  ,21.09507           ,0                  ,21.12616           ,21.46418           ,21.73901           ,21.86499           ,21.59373           ,21.49702           ,22.04093           ,21.2785            ,0                  ,21.39754           
P30040_ERP29       ,0                  ,0                  ,18.91806           ,19.49052           ,19.93145           ,0                  ,19.22952           ,19.31431           ,0                  ,19.471             ,19.97281           ,0                  ,19.66685           ,19.60928           ,19.70261           ,0                  ,0                  ,19.56078           ,19.94735           ,0                  ,0                  ,19.10929           ,18.43241           ,0                  ,19.15267           ,0                  ,19.59045           ,19.00358           ,19.8874            ,19.17251           ,21.72234           ,0                  ,18.88414           ,19.75192           ,21.51331           ,0                  ,0                  ,0                  ,19.28177           
P09382_LGALS1      ,0                  ,0                  ,0                  ,17.69268           ,19.81016           ,0                  ,0                  ,21.04146           ,18.51872           ,20.92274           ,21.60345           ,0                  ,22.64284           ,20.21596           ,18.58119           ,0                  ,0                  ,21.35837           ,21.93682           ,19.19176           ,23.11057           ,19.91232           ,20.46413           ,0                  ,0                  ,0                  ,22.80601           ,23.11027           ,0                  ,20.9011            ,19.93632           ,18.57906           ,23.85795           ,23.4946            ,19.06758           ,19.49074           ,21.84659           ,0                  ,19.31812           
Q8TD19_NEK9        ,5184               ,24.85866           ,22.46775           ,21.52573           ,21.27304           ,22.81427           ,22.57052           ,21.10521           ,23.8319            ,22.17139           ,24.50494           ,25.5595            ,24.74093           ,0                  ,23.92561           ,24.57554           ,23.82124           ,21.63671           ,23.9526            ,0                  ,23.17088           ,24.45613           ,23.594             ,22.86257           ,23.47469           ,25.68699           ,27.78257           ,25.10538           ,24.90003           ,27.88745           ,27.6224            ,27.33637           ,25.35599           ,25.95462           ,25.49613           ,26.50587           ,23.56139           ,23.635             ,26.79699           
P16070_CD44        ,0                  ,21.65979           ,21.47041           ,21.80124           ,22.35375           ,0                  ,21.92441           ,21.69977           ,22.09042           ,21.60322           ,21.98656           ,21.48454           ,21.72088           ,0                  ,21.93668           ,0                  ,21.7882            ,0                  ,22.67139           ,21.91335           ,21.71251           ,21.30413           ,21.63578           ,21.96236           ,0                  ,21.5013            ,0                  ,0                  ,22.2086            ,21.99238           ,21.75287           ,20.91496           ,21.69353           ,22.45598           ,21.86416           ,22.85872           ,22.40122           ,21.49135           ,21.0498            
P06576_ATP5B       ,0                  ,21.96346           ,22.67278           ,23.98824           ,21.09468           ,0                  ,20.71808           ,22.43967           ,0                  ,21.5553            ,0                  ,0                  ,20.64315           ,22.48301           ,23.37518           ,23.69774           ,20.36666           ,25.70609           ,22.98663           ,23.67476           ,25.50503           ,22.73302           ,21.01862           ,22.99271           ,21.93128           ,24.81235           ,0                  ,0                  ,0                  ,25.32454           ,0                  ,24.76971           ,21.57967           ,20.48109           ,20.90367           ,23.67616           ,21.68436           ,23.88558           ,23.6032            
P00441_SOD1        ,3619               ,23.83827           ,22.42278           ,23.14506           ,23.61986           ,24.77138           ,21.53236           ,21.79325           ,23.25494           ,22.87862           ,21.13364           ,22.06983           ,0                  ,22.42693           ,22.43392           ,22.15832           ,23.27597           ,22.18262           ,23.69264           ,22.12865           ,22.35837           ,22.35628           ,23.89514           ,23.44405           ,22.68938           ,21.6829            ,25.81201           ,25.29457           ,23.81304           ,22.69895           ,22.7604            ,21.88655           ,21.97715           ,22.34405           ,23.25494           ,0                  ,21.26167           ,21.67487           ,21.67685           
J3KPA1_CRISP3      ,60                 ,26.85055           ,26.89331           ,27.59306           ,24.94913           ,26.64966           ,26.66817           ,26.53159           ,26.78407           ,26.57361           ,24.29376           ,24.79104           ,25.50209           ,26.02147           ,23.96772           ,26.58176           ,28.37169           ,26.54984           ,25.99313           ,26.32052           ,26.03282           ,26.1998            ,26.64403           ,28.29321           ,28.34321           ,25.894             ,24.36766           ,26.09277           ,26.25561           ,26.77706           ,26.9729            ,27.467             ,25.44107           ,24.8541            ,23.85586           ,22.96372           ,24.34976           ,23.4891            ,27.02168           
P68431_HIST1H3A    ,110                ,27.77706           ,26.87127           ,25.96935           ,26.00629           ,25.21297           ,24.91342           ,27.59484           ,26.21858           ,27.10699           ,23.91898           ,23.8943            ,25.06431           ,25.99164           ,26.63547           ,25.00002           ,23.70081           ,26.19871           ,26.56205           ,26.69205           ,28.37522           ,25.2081            ,25.86058           ,24.51214           ,24.76157           ,24.95358           ,27.46466           ,27.01776           ,0                  ,24.26205           ,26.64169           ,25.11275           ,25.62444           ,29.22157           ,29.72975           ,28.07607           ,23.84929           ,27.27773           ,27.68057           
K7ELL7_PRKCSH      ,0                  ,21.65944           ,21.12123           ,22.01052           ,0                  ,21.81116           ,0                  ,0                  ,20.44385           ,0                  ,0                  ,20.2739            ,21.02283           ,20.90779           ,20.93128           ,20.96853           ,20.64333           ,21.07097           ,0                  ,20.88398           ,21.28619           ,21.15851           ,21.14526           ,20.69073           ,21.56025           ,0                  ,21.1242            ,21.39874           ,0                  ,21.13258           ,21.20204           ,0                  ,0                  ,21.74833           ,21.41318           ,0                  ,0                  ,21.50504           ,0                  
O00299_CLIC1       ,80                 ,21.34028           ,22.19081           ,23.36506           ,24.03909           ,20.54717           ,22.9564            ,22.75183           ,22.24991           ,23.01609           ,22.42913           ,0                  ,23.56116           ,23.19376           ,22.35971           ,21.13508           ,22.27142           ,23.07801           ,22.50681           ,22.39702           ,22.88222           ,23.79025           ,22.45003           ,21.12893           ,22.20213           ,20.7059            ,22.83896           ,23.59821           ,21.38874           ,21.07209           ,23.05623           ,22.13144           ,21.97358           ,23.6165            ,22.81824           ,23.82425           ,24.11323           ,24.18745           ,24.01402           
O00391_QSOX1       ,2203               ,23.85167           ,23.91315           ,24.98233           ,22.71308           ,23.27341           ,23.79154           ,20.82361           ,23.05951           ,21.38237           ,21.64425           ,0                  ,0                  ,21.12263           ,0                  ,23.24114           ,22.22509           ,21.0357            ,22.94228           ,20.62015           ,21.16723           ,24.52115           ,21.92394           ,23.77425           ,23.41828           ,22.70603           ,0                  ,21.24208           ,0                  ,22.32499           ,22.34215           ,21.66453           ,22.3306            ,22.5364            ,20.74057           ,25.51467           ,20.41018           ,22.23023           ,23.2044            
O15511_2_ARPC5     ,322                ,0                  ,0                  ,23.05993           ,22.76717           ,0                  ,0                  ,22.44874           ,21.20896           ,23.48456           ,22.24476           ,0                  ,23.829             ,21.02493           ,22.82825           ,0                  ,0                  ,23.41028           ,22.22973           ,0                  ,23.07865           ,22.67405           ,0                  ,21.63405           ,22.14488           ,21.92705           ,22.57154           ,22.42268           ,23.00582           ,0                  ,23.65818           ,23.34827           ,0                  ,23.73531           ,23.84259           ,23.26356           ,22.21596           ,23.29418           ,22.80367           
O43707_ACTN4       ,5184               ,21.97386           ,21.02695           ,23.21545           ,22.8157            ,0                  ,22.20985           ,22.14448           ,21.58578           ,22.41214           ,21.64324           ,0                  ,21.86929           ,21.74571           ,21.51538           ,0                  ,20.77917           ,22.35888           ,21.6468            ,22.14485           ,23.49802           ,23.5643            ,23.09013           ,21.15937           ,22.42698           ,22.0671            ,22.01754           ,20.84452           ,0                  ,22.2758            ,23.34516           ,23.05509           ,23.04161           ,22.55943           ,23.23841           ,24.09844           ,22.66568           ,23.74294           ,23.46949           
O60888_2_CUTA      ,0                  ,19.81488           ,0                  ,19.96084           ,19.97715           ,20.20729           ,20.80475           ,0                  ,20.47388           ,19.91738           ,18.93948           ,0                  ,0                  ,20.76498           ,20.56477           ,0                  ,19.63076           ,20.1603            ,20.9782            ,19.62115           ,20.72342           ,20.00182           ,19.61222           ,20.69498           ,20.34787           ,19.48269           ,19.89683           ,0                  ,20.42142           ,19.8784            ,20.08952           ,20.74944           ,18.98754           ,0                  ,19.46202           ,0                  ,19.6998            ,0                  ,0                  
O75594_PGLYRP1     ,295                ,23.11824           ,22.60991           ,22.53661           ,22.70818           ,22.7066            ,23.03606           ,23.67906           ,23.31188           ,23.24571           ,23.23436           ,23.56337           ,25.81536           ,25.62631           ,24.00256           ,23.05892           ,21.27384           ,23.8319            ,21.62863           ,23.79561           ,22.80193           ,21.68829           ,22.23371           ,0                  ,22.2592            ,23.6381            ,0                  ,23.30368           ,25.31372           ,0                  ,24.36386           ,24.41629           ,21.54647           ,23.36159           ,24.39944           ,23.13874           ,25.33773           ,22.998             ,23.62589           
O95336_PGLS        ,0                  ,21.25954           ,0                  ,21.0424            ,21.80467           ,20.73207           ,21.33587           ,20.66709           ,20.79915           ,20.90183           ,21.19814           ,0                  ,21.33008           ,21.56941           ,21.77463           ,0                  ,0                  ,21.64786           ,21.66132           ,21.17499           ,21.31838           ,21.05053           ,20.46832           ,20.82687           ,0                  ,0                  ,22.02682           ,21.29804           ,20.7376            ,0                  ,21.19604           ,0                  ,20.04607           ,22.03221           ,21.74911           ,20.59423           ,22.32819           ,19.72037           ,20.94842           
P00330_ADH1        ,5184               ,28.02152           ,27.43086           ,26.84206           ,26.93697           ,28.13707           ,26.29019           ,27.35498           ,27.73383           ,27.08274           ,29.06106           ,29.61238           ,28.50964           ,28.16954           ,28.32513           ,29.54331           ,28.91308           ,28.886             ,27.63201           ,28.71326           ,30.01465           ,29.31223           ,29.76199           ,30.45435           ,30.32807           ,31.02565           ,30.69876           ,30.02644           ,29.96966           ,31.36771           ,30.53482           ,31.49109           ,30.30411           ,30.0531            ,30.39785           ,29.45289           ,29.12201           ,29.17752           ,29.71687           
P00338_3_LDHA      ,219                ,24.26284           ,24.9852            ,24.57773           ,26.31444           ,25.8742            ,23.78706           ,25.77856           ,25.30173           ,26.137             ,24.52402           ,24.64488           ,25.88556           ,26.25988           ,25.86611           ,24.45826           ,22.87502           ,25.68902           ,26.55105           ,25.07463           ,25.13159           ,24.55092           ,24.43473           ,23.01483           ,24.96772           ,24.46101           ,25.79543           ,25.00183           ,23.43173           ,22.90367           ,25.57361           ,25.30449           ,23.18778           ,26.60045           ,25.73169           ,25.32406           ,26.42068           ,25.1238            ,25.46389           
P00352_ALDH1A1     ,0                  ,18.86054           ,21.19147           ,20.09223           ,21.73513           ,0                  ,19.59078           ,0                  ,0                  ,20.13634           ,0                  ,0                  ,0                  ,0                  ,0                  ,19.15227           ,19.37074           ,18.87033           ,20.02729           ,19.16241           ,18.64706           ,19.51385           ,19.60201           ,0                  ,21.27042           ,19.22522           ,0                  ,0                  ,0                  ,19.09329           ,20.15721           ,18.64519           ,18.44585           ,0                  ,19.07799           ,0                  ,18.73466           ,0                  ,0                  
P00450_CP          ,5184               ,23.59468           ,22.74419           ,23.30396           ,24.15391           ,0                  ,25.18541           ,23.89957           ,23.10553           ,22.68033           ,26.10807           ,25.85743           ,24.29544           ,23.85833           ,24.79213           ,25.13489           ,25.65668           ,23.44544           ,25.63868           ,25.59653           ,27.15006           ,24.89527           ,24.48475           ,23.33156           ,23.12233           ,24.38667           ,22.93962           ,24.62165           ,25.72161           ,25.89472           ,25.22652           ,22.88008           ,25.98055           ,25.79645           ,25.31965           ,25.40656           ,27.71699           ,23.5775            ,24.55479           
P00489_PYGM        ,5184               ,28.65003           ,28.01212           ,27.24554           ,27.91952           ,29.1606            ,27.66241           ,28.11585           ,28.49675           ,27.5847            ,28.98547           ,29.83875           ,28.81821           ,28.24059           ,28.87789           ,29.90641           ,29.32789           ,29.48581           ,27.92031           ,28.95876           ,29.92054           ,29.29253           ,29.77154           ,30.64461           ,30.57227           ,31.26472           ,30.84086           ,30.13161           ,30.04531           ,31.53464           ,30.7925            ,31.73505           ,30.74335           ,30.28218           ,30.9451            ,29.74514           ,29.51906           ,29.57192           ,29.96912           
P00491_PNP         ,0                  ,0                  ,21.98465           ,21.88424           ,23.52743           ,22.38832           ,22.80599           ,22.12884           ,22.22662           ,24.07431           ,22.08158           ,0                  ,22.70155           ,23.91452           ,22.50361           ,21.35122           ,22.03382           ,22.66501           ,22.67003           ,21.9578            ,23.08              ,22.05639           ,22.09764           ,0                  ,21.13464           ,22.35816           ,23.58118           ,22.66001           ,0                  ,22.1254            ,23.37584           ,23.71701           ,21.93355           ,21.57667           ,22.73562           ,21.25234           ,24.07153           ,21.9369            ,22.06214           
P00558_PGK1        ,0                  ,24.37498           ,25.02136           ,26.19254           ,27.33543           ,25.03318           ,27.08152           ,26.62784           ,26.51197           ,27.22113           ,26.8867            ,24.13524           ,27.15634           ,28.22173           ,25.94637           ,25.77339           ,24.73387           ,27.64403           ,26.20645           ,26.27172           ,26.60724           ,25.91187           ,25.39133           ,24.39034           ,24.98498           ,23.92714           ,26.32775           ,25.82866           ,26.02439           ,25.02673           ,27.52477           ,26.56058           ,24.94436           ,26.56363           ,24.60851           ,26.18145           ,26.97782           ,26.0565            ,25.54109           
P00738_HP          ,5184               ,28.0211            ,26.32401           ,27.18044           ,26.97695           ,26.5189            ,27.99216           ,29.39793           ,28.62495           ,28.82799           ,31.26908           ,29.73436           ,30.32817           ,29.69076           ,29.73583           ,29.31838           ,29.79721           ,28.7816            ,29.32281           ,31.24513           ,31.6217            ,29.51024           ,30.52412           ,28.70193           ,27.11823           ,30.14212           ,28.76636           ,27.75296           ,29.18509           ,29.35073           ,28.65901           ,24.98224           ,30.30029           ,29.3927            ,29.53343           ,28.45431           ,30.75151           ,28.22205           ,28.62213           
P00924_ENO1        ,5184               ,27.80901           ,28.13006           ,26.9486            ,26.89458           ,28.86065           ,27.27551           ,26.95947           ,28.11138           ,27.14715           ,28.0592            ,28.86594           ,28.48335           ,27.4817            ,27.83792           ,29.15711           ,28.20041           ,28.71895           ,27.59477           ,28.57669           ,29.09979           ,28.42089           ,28.64509           ,29.57114           ,29.20086           ,30.52505           ,30.08436           ,29.04682           ,29.50773           ,30.95227           ,30.01452           ,31.07444           ,29.84239           ,29.63528           ,30.36401           ,29.01433           ,28.64986           ,28.53827           ,29.22207           
P01008_SERPINC1    ,217                ,22.71641           ,20.66475           ,20.86098           ,20.42306           ,0                  ,22.31882           ,21.20514           ,21.13301           ,21.31252           ,24.34001           ,22.32691           ,23.0219            ,21.10834           ,22.10329           ,22.50867           ,22.65521           ,21.49336           ,22.59003           ,22.55455           ,23.35904           ,23.35595           ,22.89408           ,22.65471           ,0                  ,22.34606           ,0                  ,20.38648           ,23.44177           ,24.50088           ,22.21984           ,21.11439           ,23.173             ,23.27113           ,0                  ,0                  ,25.47899           ,21.73364           ,21.68564           
P01009_SERPINA1    ,5184               ,0                  ,20.21514           ,25.16603           ,19.16928           ,21.41998           ,27.41127           ,21.00888           ,22.31601           ,18.82373           ,30.17319           ,25.89009           ,22.70746           ,23.81919           ,23.19851           ,27.08588           ,28.64423           ,21.64781           ,27.33535           ,23.34476           ,24.65185           ,27.95455           ,27.8276            ,26.67438           ,26.57452           ,23.70862           ,21.26138           ,23.86731           ,26.18179           ,28.27586           ,22.29799           ,23.49863           ,28.33065           ,26.26791           ,0                  ,23.93436           ,26.56687           ,23.50736           ,22.93458           
P01023_A2M         ,5184               ,27.05051           ,25.5373            ,25.7348            ,26.92965           ,25.23914           ,26.63796           ,29.05817           ,26.36663           ,27.29798           ,31.4071            ,31.23792           ,28.81504           ,29.64208           ,30.38782           ,28.50658           ,28.06023           ,27.34528           ,27.90719           ,29.0331            ,30.09093           ,28.36503           ,28.83111           ,27.73796           ,26.91148           ,28.77162           ,28.09823           ,29.59295           ,29.53349           ,28.28299           ,28.4837            ,26.49155           ,29.93593           ,28.44747           ,29.05129           ,25.65589           ,30.36045           ,26.7366            ,26.55302           
P01024_C3          ,5184               ,25.30295           ,24.48376           ,24.53035           ,25.49085           ,23.54156           ,26.68445           ,26.1042            ,25.77992           ,26.09517           ,28.06805           ,26.87444           ,26.41664           ,26.88157           ,26.97202           ,27.3256            ,26.96301           ,25.89046           ,26.56909           ,27.70167           ,28.66824           ,27.03894           ,27.89001           ,25.21982           ,24.99058           ,27.3138            ,26.18775           ,26.84182           ,25.52256           ,27.84655           ,26.31764           ,25.73092           ,27.45709           ,26.9157            ,26.78357           ,26.37408           ,29.14338           ,25.70322           ,25.2959            
P01033_TIMP1       ,0                  ,22.35189           ,24.35131           ,22.48244           ,23.86703           ,23.19765           ,24.27377           ,22.75338           ,23.51449           ,22.06378           ,21.05735           ,20.61324           ,22.40439           ,22.31786           ,21.47981           ,22.98732           ,25.7052            ,23.13485           ,23.8675            ,21.59035           ,23.53884           ,24.03061           ,23.31091           ,26.19254           ,24.93674           ,0                  ,0                  ,21.97095           ,22.44927           ,23.26842           ,24.02251           ,23.39362           ,24.77751           ,21.0466            ,0                  ,22.76361           ,22.20219           ,22.70229           ,23.81548           
P01034_CST3        ,611                ,26.42387           ,27.38171           ,27.71476           ,27.11456           ,26.81507           ,26.03122           ,26.89643           ,26.43377           ,25.82762           ,23.72338           ,23.43339           ,23.93841           ,26.27439           ,25.16296           ,25.45227           ,28.14667           ,26.85686           ,27.15287           ,25.41905           ,25.03389           ,26.33269           ,26.89943           ,27.81653           ,26.93044           ,24.19092           ,26.13175           ,24.96416           ,25.40545           ,25.58786           ,25.9977            ,27.104             ,26.27302           ,25.45067           ,23.76243           ,24.10157           ,25.07875           ,25.6345            ,26.11402           
P01036_CST4        ,5184               ,30.44865           ,32.06558           ,31.15074           ,30.73497           ,31.20023           ,31.92352           ,30.73417           ,31.57817           ,27.99879           ,0                  ,26.9526            ,0                  ,25.82262           ,0                  ,27.64808           ,30.2021            ,30.7319            ,27.91798           ,27.92417           ,27.61063           ,27.7449            ,31.59174           ,30.36119           ,29.64901           ,29.73778           ,30.04791           ,29.53211           ,28.15219           ,30.27919           ,28.38595           ,29.64033           ,29.60334           ,21.82807           ,28.8832            ,24.31866           ,0                  ,0                  ,29.4286            
P01037_CST1        ,5184               ,29.2963            ,31.61671           ,31.14218           ,30.84595           ,31.00337           ,29.40848           ,29.62342           ,31.06715           ,28.23284           ,0                  ,27.29789           ,0                  ,25.70662           ,0                  ,27.16192           ,30.12583           ,30.69304           ,27.05134           ,27.73124           ,27.88431           ,26.87643           ,29.68338           ,30.30138           ,28.86623           ,28.69594           ,29.83251           ,28.17083           ,27.36127           ,28.76538           ,27.93719           ,29.45018           ,28.7415            ,22.40328           ,27.97656           ,24.35897           ,0                  ,0                  ,28.08725           
P01042_2_KNG1      ,2892               ,20.76539           ,21.7107            ,20.71347           ,0                  ,0                  ,23.59867           ,20.63609           ,21.20538           ,21.07431           ,25.86011           ,24.34915           ,23.68143           ,21.84337           ,22.58472           ,22.79592           ,22.65064           ,0                  ,22.41326           ,24.1343            ,23.99404           ,24.16959           ,23.01531           ,0                  ,0                  ,0                  ,21.21169           ,0                  ,23.45989           ,24.2839            ,22.09568           ,22.83422           ,23.98015           ,24.90926           ,0                  ,22.10872           ,24.78586           ,21.35095           ,21.6252            
P01591_IGJ         ,106                ,30.61377           ,30.23078           ,30.33533           ,29.63718           ,30.88795           ,30.22182           ,30.52262           ,30.09434           ,29.87691           ,29.31877           ,29.77381           ,28.86894           ,29.25178           ,29.03454           ,30.14746           ,31.22446           ,30.82828           ,27.82068           ,29.5539            ,28.36907           ,28.64818           ,29.95241           ,31.03813           ,30.12546           ,30.00531           ,30.10749           ,30.25034           ,27.66404           ,30.38638           ,29.92408           ,30.92564           ,29.94056           ,29.01449           ,29.07043           ,26.87033           ,28.53545           ,29.45895           ,29.33326           
P01593             ,8                  ,25.9358            ,23.93076           ,21.85487           ,0                  ,0                  ,0                  ,21.61261           ,24.63412           ,24.19438           ,25.07194           ,23.94905           ,24.6392            ,0                  ,23.75735           ,22.33216           ,0                  ,23.83403           ,23.80686           ,22.90091           ,22.62609           ,21.60526           ,24.32896           ,24.16561           ,23.52695           ,24.09055           ,24.34543           ,25.46485           ,0                  ,0                  ,22.58545           ,25.64              ,22.29673           ,23.17384           ,0                  ,21.8717            ,20.00648           ,0                  ,23.58061           
P01598             ,3504               ,0                  ,19.74852           ,20.04567           ,20.08018           ,19.58461           ,21.86903           ,20.86499           ,20.96733           ,20.15078           ,20.72234           ,0                  ,21.14358           ,0                  ,21.28856           ,0                  ,21.62489           ,20.66986           ,20.27287           ,0                  ,20.6072            ,21.45663           ,22.99533           ,21.10431           ,21.45156           ,21.05966           ,0                  ,20.74526           ,0                  ,21.8723            ,20.84506           ,21.28918           ,22.68027           ,20.50959           ,20.33047           ,21.97509           ,23.64064           ,21.7997            ,21.70607           
P01616             ,0                  ,21.30541           ,0                  ,20.87575           ,19.58774           ,22.41041           ,21.74394           ,19.1169            ,0                  ,20.3405            ,21.48124           ,20.88502           ,20.67943           ,20.81214           ,20.66449           ,0                  ,20.86136           ,0                  ,20.61791           ,0                  ,21.01563           ,20.24725           ,20.0675            ,20.36078           ,20.43868           ,0                  ,21.0448            ,22.20952           ,19.99328           ,21.44137           ,20.45061           ,21.14576           ,20.5733            ,21.73888           ,19.65847           ,0                  ,21.17956           ,0                  ,19.81488           
P01622             ,16                 ,20.69515           ,21.47417           ,21.75075           ,21.16196           ,22.40652           ,21.9294            ,21.12067           ,20.83098           ,0                  ,21.31998           ,0                  ,20.94728           ,20.58215           ,20.92165           ,21.28071           ,22.23491           ,22.02513           ,21.37999           ,20.54557           ,20.98933           ,21.91962           ,21.47402           ,21.46369           ,21.70041           ,20.68106           ,0                  ,22.06161           ,19.71163           ,21.82306           ,20.79654           ,20.53469           ,20.25373           ,21.78975           ,0                  ,0                  ,20.85018           ,0                  ,19.77214           
P01623             ,42                 ,28.64124           ,27.80181           ,27.52373           ,26.02669           ,28.09305           ,27.86325           ,28.1856            ,27.85365           ,27.9165            ,28.67761           ,29.47119           ,28.13668           ,27.15228           ,28.17603           ,27.24943           ,28.96359           ,27.83665           ,27.89012           ,27.4149            ,26.6454            ,27.55793           ,28.9712            ,28.39546           ,28.08111           ,28.14565           ,27.89637           ,29.06594           ,26.68632           ,28.38706           ,26.8299            ,28.3704            ,27.51089           ,27.90879           ,26.73053           ,26.09684           ,26.25272           ,26.27037           ,27.783             
P06314_IGKV4_1     ,272                ,23.93463           ,23.16509           ,23.94262           ,23.54014           ,24.74381           ,25.21516           ,24.08188           ,23.68228           ,24.05978           ,24.59377           ,24.15105           ,24.19783           ,23.65097           ,24.89101           ,23.826             ,25.78212           ,24.31486           ,25.11497           ,23.81675           ,23.33525           ,24.49039           ,24.8099            ,24.41448           ,24.08756           ,24.21719           ,23.16717           ,24.86098           ,24.26699           ,24.90555           ,23.83904           ,23.73438           ,24.6319            ,24.45312           ,23.00455           ,22.3839            ,24.32848           ,22.83142           ,23.9313            
P01714             ,11                 ,23.16768           ,22.2024            ,22.03869           ,21.56598           ,22.89791           ,23.01361           ,23.15388           ,21.88729           ,22.46819           ,23.48161           ,22.50465           ,22.00453           ,22.85576           ,24.24133           ,23.25178           ,24.09917           ,23.16154           ,23.18708           ,23.56546           ,23.03078           ,24.14165           ,23.42329           ,23.82639           ,23.87586           ,21.54194           ,23.18659           ,22.93875           ,22.8472            ,23.56605           ,22.80176           ,23.67088           ,23.43352           ,24.32292           ,21.92817           ,21.38464           ,24.12289           ,21.0831            ,23.01597           
P01717             ,0                  ,24.21148           ,22.79463           ,23.6006            ,24.36553           ,24.39447           ,23.10056           ,24.62584           ,24.87989           ,24.12755           ,25.43173           ,0                  ,24.13626           ,24.40419           ,24.49808           ,24.41983           ,25.50069           ,24.74088           ,24.81216           ,24.40139           ,23.14041           ,25.31779           ,23.62723           ,25.69445           ,24.01759           ,24.89037           ,25.55938           ,24.10582           ,23.1456            ,25.04302           ,24.77314           ,25.60385           ,24.42227           ,24.70145           ,23.91251           ,24.37703           ,23.94869           ,22.20413           ,24.34089           
