*N,acc_tree,groups
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P16401_HIST1H1B
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P06702_S100A9
3,0.944444444444,CON__P00761,Q99879_HIST1H2BM,P62937_PPIA
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P06454_PTMA
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,CON__P01966
3,0.944444444444,CON__P00761,Q99879_HIST1H2BM,P30740_SERPINB1
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P61160_2_ACTR2
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,CON__P02538_KRT6A
3,0.944444444444,CON__P00761,Q99879_HIST1H2BM,P14618_PKM2
3,0.944444444444,CON__P00761,Q99879_HIST1H2BM,E9PK25_CFL1
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P23280_CA6
3,0.888888888889,CON__P00761,Q99879_HIST1H2BM,P01616
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,Q8TAX7_MUC7
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P00558_PGK1
3,0.944444444444,CON__P00761,Q99879_HIST1H2BM,P02671_FGA
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,P01859_IGHG2
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,Q9UKR3_KLK13
3,0.833333333333,CON__P00761,Q99879_HIST1H2BM,A0A087WV23_SH3BGRL3
3,0.833333333333,CON__P00761,A0A087WZM2_RNASET2,P04080_CSTB
3,0.944444444444,CON__P00761,A0A087WZM2_RNASET2,P05386_RPLP1
3,0.833333333333,CON__P00761,A0A087WZM2_RNASET2,P02675_FGB
3,0.833333333333,CON__P00761,A0A087WZM2_RNASET2,P00330_ADH1
3,0.833333333333,CON__P00761,A0A087WZM2_RNASET2,A0A087WV23_SH3BGRL3
3,0.833333333333,CON__P00761,P04080_CSTB,P30044_PRDX5
3,0.833333333333,CON__P00761,P04080_CSTB,Q9BRF8_CPPED1
3,0.833333333333,CON__P00761,P04080_CSTB,P08670_VIM
3,0.833333333333,CON__P00761,P04080_CSTB,Q8TDL5_BPIFB1
3,0.888888888889,CON__P00761,P04080_CSTB,P01009_SERPINA1
3,0.833333333333,CON__P00761,P04080_CSTB,P13688_CEACAM1
