"","rank","protein"
"1",1,"P00330_ADH1"
"2",2,"CON__P00761"
"3",3,"P02769_BSA"
"4",4,"P00489_GPB"
"5",5,"A0A087WVW2_IGHG3"
"6",6,"P05386_RPLP1"
"7",7,"Q9NQ38-3_SPINK5"
"8",8,"P01859_IGHG2"
"9",9,"D6RF35_GC"
"10",10,"P01008_SERPINC1"
"11",11,"P00924_ENO1"
"12",12,"P07339_CTSD"
"13",13,"P01023_A2M"
"14",14,"Q99879_HIST1H2BM"
"15",15,"B7Z6Z4_MYL6"
"16",16,"P01024_C3"
"17",17,"P02787_TF"
"18",18,"Q9NZL9_MAT2B"
"19",19,"P09228_CST2"
"20",20,"P01036_CST4"
"21",21,"P01037_CST1"
"22",22,"P00738_HP"
