protein, probability of being in a group of size from 1 to 3 with acc higher or equal to 0.952380952381
P05164_3_MPO,0.0
P08246_ELANE,0.0
P01009_SERPINA1,0.0
CON__P00761,0.0
P04792_HSPB1,0.0
