protein, counting from 23 of being in a group of size from 1 to 3 with acc higher or equal to 0.8182
P0C0L5_C4B,3
P09228_CST2,2
P01859_IGHG2,4
B7Z6Z4_MYL6,4
P00489_GPB,0
P01036_CST4,0
P00330_ADH1,6
P01008_SERPINC1,7
B4E1Z4_CFB,2
P01023_A2M,5
P00924_ENO1,0
P02763_ORM1,4
P14174_MIF,14
P05386_RPLP1,20
Q99879_HIST1H2BM,20
CON__P00761,41
Q9NZL9_MAT2B,7
CON__P02768_1_ALB,3
P62937_PPIA,4
P02787_TF,2
P52209_PGD,3
P23280_CA6,4
P02769_BSA,1
