,OC1_1,OC1_2,OC2_1,OC2_2,OC3_1,OC3_2,OC4_1,OC4_2,OC5_1,OC5_2,OC6_1,OC6_2,OC7_1,OC7_2,OC8_1,OC8_2,EC1_1,EC1_2,EC2_1,EC2_2,EC3_1,EC3_2,EC4_1,EC4_2,EC5_1,EC5_2,EC6_1,EC6_2,EC7_1,EC7_2,EC8_1,EC8_2
proteins,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,OC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC,EC
Q58EX2,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,2.51058626576,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P00441,20.37679444584,12.40882787713,3.13042321546,4.92799613402,0.00000000000,0.00000000000,13.37730293843,13.64978940605,0.00000000000,0.00000000000,1.88380541872,5.02117253151,0.00000000000,2.29539315726,4.62655463608,10.41016011681,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.93059622375,3.65245940783,4.00851677149,0.00000000000,1.82797562141,5.74261923354,6.06618813452,3.14225554643,4.72892621599
P02763,0.00000000000,0.00000000000,15.65211607728,15.76958762887,109.03211663111,114.93446318250,0.00000000000,4.09493682182,0.00000000000,0.00000000000,0.00000000000,0.00000000000,262.50549542369,212.32386704682,552.41062354820,476.97460898832,37.47806040627,32.52971660100,18.27657933611,23.84514258397,0.00000000000,0.00000000000,9.75741222699,9.65298111874,21.91475644699,13.02767950734,19.09008087061,11.88184153920,0.00000000000,0.00000000000,11.78345829910,12.61046990932
P43652,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.56880743354,1.59631198865,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.11064460086,3.42418069484,0.00000000000,3.17935234453,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.74261923354,4.04412542301,0.00000000000,0.00000000000
P02760,0.00000000000,0.00000000000,17.73906488758,16.75518685567,5.49082601739,6.38524795458,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,9.08559040152,5.13627104226,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4.87870611349,2.89589433562,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3.14225554643,3.15261747733
P00736,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.13569880019,1.14139356495,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P61769,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,2.83924700048,3.99487747732,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P62158,0.00000000000,6.89379326507,14.60864167212,0.00000000000,0.00000000000,0.00000000000,2.97273398632,5.45991576242,17.23355114917,20.70825812274,5.65141625616,0.00000000000,0.00000000000,0.00000000000,5.55186556330,8.51740373193,0.00000000000,0.00000000000,0.00000000000,11.12773320585,0.00000000000,0.00000000000,0.00000000000,0.00000000000,8.21803366762,10.02129192872,3.05441293930,5.48392686424,0.00000000000,0.00000000000,0.00000000000,1.57630873866
P27797,0.00000000000,5.51503461206,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4.45910097948,5.45991576242,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3.32301442475,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.52720646965,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q06830,14.38361960883,22.06013844823,3.13042321546,1.97119845361,0.00000000000,2.39446798297,0.00000000000,0.00000000000,0.00000000000,3.45137635379,37.67610837438,7.53175879727,0.00000000000,4.59078631453,0.00000000000,0.00000000000,2.83924700048,1.14139356495,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3.14225554643,0.00000000000
Q9UHL4,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.38548473411,6.90275270758,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.13569880019,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.95148244540,0.00000000000,0.00000000000,0.00000000000,0.00000000000,2.74196343212,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P49327,70.71946307673,41.36275959042,4.17389762061,6.89919458763,1.56880743354,3.99077997161,0.00000000000,0.00000000000,10.77096946823,3.45137635379,121.50544950739,107.95520942752,3.93266659811,4.59078631453,12.02904205381,17.98118565631,1.70354820029,1.71209034742,0.00000000000,0.00000000000,3.23420585250,5.65030289598,4.87870611349,5.79178867124,12.78360792741,0.00000000000,6.10882587859,0.00000000000,11.48523846708,3.03309406726,7.07007497946,11.82231553998
P08118,0.00000000000,8.27255191808,0.00000000000,2.95679768041,66.67431592550,103.76027926198,11.89093594527,0.00000000000,0.00000000000,0.00000000000,3.76761083744,0.00000000000,18.68016634101,14.92005552221,20.35684039876,17.98118565631,0.00000000000,1.71209034742,0.00000000000,0.00000000000,27.49074974628,18.83434298660,1.95148244540,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,40.06375821693,25.22093981863
Q96KK5,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.46841170501,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q99878,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,26.36808018125,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q6FI13,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,26.36808018125,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q16777,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,11.31972048376,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q71UI9,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.87242911342,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P84243,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.74261923354,4.04412542301,0.00000000000,0.00000000000
P62805,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.59631198865,4.45910097948,0.00000000000,7.53967862776,0.00000000000,0.00000000000,0.00000000000,4.91583324763,3.44308973589,0.00000000000,0.00000000000,1.70354820029,1.71209034742,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4.56557425979,2.00425838574,7.63603234824,0.00000000000,9.18819077367,5.05515677876,15.71127773213,17.33939612531
O43653,0.00000000000,0.00000000000,13.56516726697,16.75518685567,0.00000000000,0.00000000000,0.00000000000,0.00000000000,2.15419389365,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3.40709640057,2.85348391237,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.47868911175,7.01490435010,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P22695,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.59331896552,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P34096,13.18498464142,15.16634518316,4.17389762061,4.92799613402,3.92201858385,3.99077997161,0.00000000000,0.00000000000,10.77096946823,9.20367027677,12.24473522167,15.06351759454,1.96633329905,0.00000000000,5.55186556330,3.78551276975,3.40709640057,2.28278712989,3.32301442475,0.00000000000,8.08551463126,5.65030289598,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q01105,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3.17935234453,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4.59409538683,13.14340762479,0.00000000000,0.00000000000
P06326,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.85062185443,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,1.95148244540,0.00000000000,3.65245940783,3.00638757862,0.00000000000,0.00000000000,0.00000000000,5.05515677876,0.00000000000,0.00000000000
P02751,14.38361960883,12.40882787713,18.78253929273,10.84159149485,13.33486318510,14.36680789781,0.00000000000,4.09493682182,3.23129084047,3.45137635379,4.70951354680,10.04234506303,4.91583324763,5.73848289316,2.77593278165,1.89275638487,17.03548200285,13.69672277937,19.93808654849,19.07611406718,4.85130877876,5.65030289598,3.90296489079,1.93059622375,12.78360792741,11.02342112159,9.92684205272,7.31190248566,6.89114308025,5.05515677876,3.14225554643,5.51708058533
P12273,0.00000000000,0.00000000000,10.43474405152,9.85599226804,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,75.59672024760,85.00086639579,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P27708,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,16.95424876847,8.78705193015,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Q03154,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4.30838778729,3.45137635379,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
P01011,0.00000000000,0.00000000000,0.00000000000,0.00000000000,12.55045946833,11.17418392052,2.97273398632,4.09493682182,6.46258168094,4.60183513839,0.00000000000,2.51058626576,4.91583324763,4.59078631453,6.47717649051,6.62464734706,11.35698800190,8.56045173711,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,6.39180396371,0.00000000000,6.87242911342,6.39791467495,10.33671462037,4.04412542301,0.00000000000,4.72892621599
