	12.5fmol_C10	12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_C8	12.5fmol_Ro	25fmol_semtumor_S36	25fmol_semtumor_S40	25fmol_semtumor_S49	25fmol_semtumor_S57	25fmol_semtumor_S61	25fmol_semtumor_S64	25fmol_semtumor_S68	25fmol_semtumor_T16	50fmol_T1T2_S17	50fmol_T1T2_S77	50fmol_T1T2_S78	50fmol_T1T2_T12	50fmol_T1T2_T20	50fmol_T1T2_T22	50fmol_T1T2_T23
genes	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol
Q99879_HIST1H2BM	26.74445	26.40368	25.90327	27.43889	25.29411	26.29088	26.65349	23.01711	23.6634	24.65414	23.64768	21.52411	25.02433	26.08499	24.50682	25.60346	24.09563	22.13119	20.56486	26.6245	25.60382	0
Q9BQR3_PRSS27	0	0	20.84368	20.18507	0	19.49166	20.37687	20.7032	0	20.14607	0	22.50579	0	23.0432	0	0	0	20.34592	0	0	19.57924	22.36541
Q9BRA2_TXNDC17	21.13752	0	21.71699	22.16282	21.22511	21.04527	19.85758	21.88748	20.85476	23.86202	21.15968	21.33068	20.99845	24.75715	21.08719	0	20.88472	21.11324	0	20.94521	21.22523	21.88256
Q9BRF8_CPPED1	0	21.52172	21.41622	0	21.52229	22.03446	0	21.68136	23.09194	0	0	0	22.16447	22.24086	0	22.04657	0	21.05649	22.43094	23.56883	0	0
Q9HC84_MUC5B	31.96206	33.78673	32.17331	31.8486	31.48999	31.76505	32.51329	24.26119	29.97542	26.3505	30.54416	33.41349	32.22605	33.42929	30.31311	30.11805	33.02084	33.35718	31.01545	28.96639	31.38283	29.68305
Q9HD89_RETN	20.62471	19.80133	0	21.18083	0	20.77217	21.37342	21.15937	0	0	0	0	22.07483	19.02832	20.58719	21.22618	19.79473	0	20.9894	0	19.4153	0
Q9NQ38_3_SPINK5	22.5191	23.77364	24.19806	23.4339	23.51039	23.6871	22.78205	22.16156	0	22.72109	22.17103	21.82714	22.9954	22.90733	21.97712	0	21.56742	22.8179	0	24.59895	21.10194	23.45626
Q9UBC9_SPRR3	21.74049	21.88476	25.19423	23.31493	0	22.42939	21.73979	0	0	0	23.44922	24.88818	21.48773	24.77972	22.46339	0	22.26416	26.13449	22.08952	0	0	29.75451
Q9UBG3_CRNN	23.24217	24.70055	27.67788	25.16254	0	23.80646	25.84723	22.38026	0	0	24.20992	24.73185	22.43138	24.02107	23.75766	22.67068	22.87555	25.12597	23.45939	24.17995	0	25.03179
Q9UBX7_3_KLK11	20.63812	22.14582	20.48237	19.91918	20.71699	20.11655	20.72084	20.48316	0	20.72725	20.10776	23.41467	20.35714	21.97369	19.72301	19.34069	21.16699	23.28996	0	0	20.98468	21.41576
Q9UGM3_6_DMBT1	26.69246	30.80647	29.19561	28.06984	31.06278	29.51232	31.64547	24.7251	26.48242	28.77985	29.50038	31.13901	30.21141	29.1321	28.11133	26.60201	29.5945	29.35953	28.82098	28.50529	29.83218	28.08902
Q9UIV8_SERPINB13	20.27458	22.39893	23.3995	22.55478	0	22.40556	21.78975	22.3805	0	22.26511	0	21.81327	22.27373	24.32738	21.41782	0	21.88069	22.48792	0	22.91727	22.33041	24.26607
Q9UKR3_KLK13	21.68885	22.15066	22.95321	22.18447	22.00796	23.1547	21.41323	22.46066	0	23.44922	22.11226	24.45004	20.85118	23.28602	0	0	21.79551	24.15707	0	22626	22.71825	22.14137
V9HW75_NUCB2	21.72966	24.86391	23.69615	24162	22.8874	23.73034	24.37378	0	0	23.04638	24.03171	25.17333	23.98746	22.34881	22.03969	22.85068	25.01376	25.12317	22.84397	0	0	22.63978
