	12.5fmol_C10	12.5fmol_C2	12.5fmol_C3	12.5fmol_C4	12.5fmol_C5	12.5fmol_C8	12.5fmol_Ro	25fmol_semtumor_S36	25fmol_semtumor_S40	25fmol_semtumor_S49	25fmol_semtumor_S57	25fmol_semtumor_S61	25fmol_semtumor_S64	25fmol_semtumor_S68	25fmol_semtumor_T16	50fmol_T1T2_S17	50fmol_T1T2_S77	50fmol_T1T2_S78	50fmol_T1T2_T12	50fmol_T1T2_T20	50fmol_T1T2_T22	50fmol_T1T2_T23
genes	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	12.5fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	25fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol	50fmol
P11413_2_G6PD	22.95184	22.01655	21.80786	23.04198	0	22.47541	23.13745	21.96846	23.20538	23.68891	0	20.50601	22.94011	21.65718	22.47959	23.37053	21.52936	0	23.51797	22.34248	22.27991	0
P55786_NPEPPS	20.92665	19.85266	21.44349	22.35464	19.39981	20.17365	0	21225	21.01699	21.67116	0	19.78584	20.47308	21.68556	20.2287	19.3675	19.22442	19.38433	0	20.50659	20.11413	0
O00764_PDXK	21.26436	0	18.90953	19.74827	19.25834	19.90048	19.59036	17.3611	19.73894	0	0	0	20.30563	19.11281	19.99397	19.87685	18.4739	17.79322	0	19.51688	18.74701	0
P0C0L5_C4B	22.72284	21.71222	22.94102	22.73944	21.27498	22.09281	23.51953	25.74463	22.91276	23.60399	24.47834	23768	21.15171	25.66368	23.5708	23.45538	23.05106	0	23.33115	22.20419	23.11701	22.15814
P22079_LPO	26.43908	28.1736	25.94177	27.9701	28.53542	26.86561	28.61362	24.77746	25.23688	27.69896	27.88023	27.92592	27.91946	28.50688	26.92377	27.39452	26.40074	27.62443	25.92384	26.35111	25.71599	25.48145
P61160_2_ACTR2	22.36119	0	22.30017	23.72723	0	21.77941	22.88385	21.8987	23.80735	23.19141	20.94063	0	21.46354	21.58072	21.23602	22.24342	21.68581	20.87019	0	21.97509	0	0
Q14697_2_GANAB	21.24191	21.03154	20.94592	21.45156	21.05019	20.7348	21.35154	20.1029	20.62051	20.73529	20.85217	20.71749	20.6734	20.86831	20.6035	20.90779	20.24377	20.01195	20.4401	0	21.24162	0
P09382_LGALS1	20.91284	0	17.98743	20.00553	0	20.35348	0	21.23128	22.48301	20.08926	0	0	21.35606	21.7704	0	23.11353	20.14992	0	0	22.77925	23.06963	0
P17858_PFKL	21.84445	20878	21.06684	0	0	21.89722	21.38147	0	21.44374	0	0	0	21.43273	19.8715	21.52784	21.43166	20.05788	0	0	23.24185	21.47872	0
P06576_ATP5B	21.79511	22.22623	24.38627	21.21632	0	22.51222	21.04946	0	20.38964	21.95762	23.02586	20.30519	24.68212	23.21969	22.9544	24.51809	20.6611	22.96784	23.94002	0	0	0
Q9NZL9_MAT2B	26.62422	27.12228	26.37181	26.72143	27.21632	26.52782	26.9257	26.8962	26.01389	25.67295	26.19729	25.76797	26.78344	26.43411	26.12159	25.67484	25.87514	25.26703	25.05507	26.1842	25.47602	24.17889
J3KPA1_CRISP3	26.24102	27.07051	27.86148	25.34898	27.15962	26.85424	27.25638	24.51989	25.66617	26.45908	26.83581	28.53423	27.1029	26.53951	26.62631	26.46834	26.96455	28.82132	26.14215	24.55339	26.18533	26.89516
P04075_2_ALDOA	28.04515	26.24922	26.45609	28.0316	26.20652	27.64794	24.48333	26.64238	27.22968	28.13717	25.62106	25368	26.82481	27.73738	26.76319	26.92456	25.2163	24.75542	25.7177	27.48777	26.74996	27.22536
P68431_HIST1H3A	27.40414	27.29614	26.29118	26.36311	25.6682	27.91644	25.25209	24.48481	25.45936	26.34751	25.67804	23.90894	26.54719	27.04177	26.63409	28.25205	26.19127	24.82924	25.28465	27.89902	27.65533	0
O00299_CLIC1	23.15201	22.32345	23.55836	24.17646	20.85217	22.85384	23.09624	22.51888	23.6767	23.25609	21.36832	22.39877	23.22291	22.62328	22.49763	23.01089	22.5276	21.27316	20.95042	22.97232	23.69254	21.59318
O00391_QSOX1	20.8016	23.1688	24.5313	22.06609	22.78221	20.14358	23.16881	21.11165	0	20.3791	0	22.50186	20.4	22.46326	20.01114	20.68868	21.27304	23.2407	0	0	20.5172	0
O15511_2_ARPC5	23.59172	0	23.11515	22.83677	0	22.54404	0	22.39713	23.70345	23.45526	0	0	23.25811	22.3036	0	23.11339	0	0	22.15289	22.67098	22.5377	23.04966
O43707_ACTN4	21.90779	20.76377	22.85768	22.25425	0	21.51027	21.61293	21.33085	21.38195	0	0	20.44385	0	21.34949	21.78037	23.22985	22.70891	20.75491	21.7062	0	20.46294	0
O60888_2_CUTA	20.1332	0	20.18289	20.1835	20.49639	0	21.01073	19.06579	19.39797	20.94306	19.56244	19.82563	20.38184	21.7536	19.8034	20.19893	19.79709	20.77909	0	0	0	20.64342
O75594_PGLYRP1	22.92234	23.28263	22.14541	24.50628	23.02525	24.0231	23.22938	23.11127	25.69474	25.46026	23.25275	0	24.12274	21.74891	23.96146	22.89621	22.89914	0	23.55473	0	23.13532	24.90054
O95274_LYPD3	21.32707	21.21336	23.10103	22.65644	21.4001	21.22882	20.70919	21.66245	0	21.31921	21.13828	23.28814	21.04913	22.79685	20.32817	0	21.10002	21.91947	21.09468	20.91152	0	0
O95336_PGLS	20.79598	0	20.96268	21.67668	20.68688	20.51316	21.20759	21.0749	21.39686	21.59295	0	0	21.53512	21.52373	21.02296	21.20961	20.31893	20.66241	0	21.89571	21.1566	20.58233
P00338_3_LDHA	26.29978	25.11577	24.79466	26.50446	25.97402	25.84984	23.86145	24.61583	25.91873	26.26505	24.61997	23.12506	25.78017	26.54579	25.31001	25.16135	24.50015	22.99745	24.52259	25.86649	24.99934	23.53469
P00450_CP	22.99755	23.02943	23.95287	24.42137	20.87837	24.09869	25.57525	26.51839	24.70002	24.22192	25.51123	25.9954	23.70662	26.06604	25.81663	27.53697	24.88469	24.24249	24.77977	23.77374	24.87023	25.88781
P00491_PNP	24.37882	22.07307	22.02134	23826	22.63418	22.23847	22.83101	22.06313	22.7017	24.16753	21.51836	22.2209	22.89195	22.85844	22.08819	23.18201	22.26834	0	22.54246	23.58829	22.81257	0
P00558_PGK1	27.26803	25.0466	26.32761	27.4698	25.34547	26.68672	27.05776	26.91923	27.12633	28.28767	25.8354	24.70356	27.78675	26.27631	26.37317	26.62729	25.35958	24.44196	24.10374	26.4859	25.82364	26.08288
P00738_HP	28.82848	26.36256	27.33108	27.09476	26.23655	29.26172	27.90024	31.32475	30.46344	29.69126	29.20515	29.38317	28.79185	29.24654	31.31889	31.62888	30.53018	28.50733	30.29154	28.85784	27.7213	29611
P01008_SERPINC1	21.07894	21.25448	21.19508	20.99521	0	21.78449	22.5331	24.63727	23.29376	21.67349	22.91105	22.89676	21.92125	22.77117	22.94926	23.6871	23.2111	22.93265	22.63358	23.04848	20.89556	23.53255
P01009_SERPINA1	18.76078	20.18277	25.08201	19.15573	21.12566	20.89223	27.28912	30.46684	22.50477	23.65228	27.11714	28.64303	21.50048	27.26033	23.15883	24.53765	27.7564	26.68043	23.28065	21.17035	23.71366	26.17451
P01023_A2M	27.26705	25.55508	25.68992	26.96091	25.62101	29.06792	26.50503	31.43659	28.78818	29.61126	28.43102	27.95333	27.33211	27.69962	28.91519	30.17474	28.78179	27.81958	28.78672	28.13888	29.63689	29.52971
P01024_C3	26.33458	24.91971	24.88851	25.85538	24.29817	26.19627	26.48904	28.17422	26.37372	26.82177	27.42254	26.84995	25.93222	26.67761	27935	28.7888	27.93613	25.18439	27.22214	26.01555	26.9651	25.51337
P01033_TIMP1	22.18846	24.58084	22.78009	24.09595	23.48751	22.7939	24.4711	21.32361	22.51833	22.43726	23.12753	25.85381	23.25256	24.06571	21.81773	23.8042	23.38824	26.38156	0	0	22.15112	22.58509
P01034_CST3	26.01984	27.33433	27.84613	27.11575	27.08993	26.92999	25.98724	23.91022	24.05639	26.35023	27.04354	28.08548	26.93629	27.11188	25.48971	25.10633	27.00078	27.29334	23.71931	25.0632	24.69466	26.96069
P01036_CST4	29.17662	32.92541	31.94789	31.52468	32.08372	31.52122	32.29096	0	21.03905	26.64733	28.47154	31.21558	31.69971	28.50726	28.94266	28.54422	32.17706	31.46772	30.77698	30.93227	30.19108	28.55175
P01037_CST1	28.13399	31.67645	31.26841	30.88351	31.07482	29.5495	29.4862	0	0	25.30973	27.09275	30.2867	30.81772	26.91969	27.66966	27.74291	29.99375	30.44658	28.82793	29.79911	28.40434	27.39877
P01042_2_KNG1	21.36634	0	20.8524	0	0	20.11946	23.42534	25.81105	23.75246	21.85285	23.12493	22.46727	0	22.75448	24.00015	23.97369	22.99072	0	0	21.39833	21.90647	23.51881
P01591_IGJ	30.09358	30.3241	30.44065	29.70652	31.22481	30.52244	30.09081	29.3753	28.96279	29.21304	30.26874	31.05375	31.01498	27839	29.71066	28.46568	30.02049	31.09509	29.82666	30.21338	30.47894	27.90185
P01593	24.36686	24.09063	22.09091	0	24.95921	25.51761	21.88896	25.10601	24.65234	0	22.55763	0	24.01784	23.82677	23.04966	22.82943	24.4632	24.2839	24.27476	24.50118	25.48738	0
P01598	20.33134	19.93287	20.12326	20.25327	19.87589	20.96543	21.8946	20.85924	21.24249	0	0	21.71129	20.83221	20.41905	0	20.77708	22.99276	21.18683	21.20687	0	20.87117	0
P01616	20.50911	0	20.98029	19.76147	22.62266	19.12868	21.79642	21.5276	20.70489	20.82741	0	20.89896	0	20.65009	0	21.18107	20.20443	20.47269	0	21.18235	22.3085	20.17731
P01622	0	21.55726	21.88129	21.25448	22.58385	21.1465	22.00997	21.40426	21.01822	20.64931	21.39393	22.28661	22.11235	21.45051	20.61836	21.0818	21.51239	21.50736	20.80294	0	22.11051	19.84526
P01623	28.37414	27.94943	27.64279	26.19221	28.34189	28.21711	27.94509	28.75057	28.18021	27.14831	27.34486	28.9907	27.90346	27.96999	27.52567	26.69378	28.98362	28.47065	28.17717	28.09089	29.02939	26.90782
P01624	18.9907	19.91778	0	22.83807	0	19.13966	20.0961	22.93029	19.61216	20.10482	21.67051	20.33309	20.94871	19.20436	0	19.64852	23.07289	21.96983	19.69376	0	20.97085	19.79559
P06314_IGKV4_1	24.29004	23.13017	24.03398	23.46936	24.9554	23.96834	25.45748	24.96992	24.18873	23.60885	24.23418	25.76083	24.32834	25.13285	23.76203	23.5285	25.00397	24.72936	24.23111	23.14467	24.8102	24.27533
P01714	22.64621	22.36669	22.25926	21.64496	23.16385	23.19179	23.0922	23.55415	22.0561	22.89719	23.37716	24.16292	23.33811	23.24547	23.61234	23.13535	23.4737	23.85671	21.74267	23.26141	23.08156	22.94721
P01717	24.25674	22.85937	23.72224	24.47957	24.57485	24.65469	23.1701	25.49518	24.17881	24.4821	24.53611	25.55541	24.83113	24.86145	24.4393	23.29474	23.66861	25.71568	24.98464	25.62517	24.2062	23.23656
P01763	22.84021	22.01124	21.34587	22.35165	23.48763	23.20875	22.73378	24.04602	22.62843	21.26625	23.94789	23.33306	22.96483	23.06577	22.78063	22.47182	22474	24.7263	23.67487	23.00542	24.11878	22.99738
P01767	20.5244	0	19.52503	21.74776	22.07323	21.55515	20.75768	20.53022	21.95291	19.29123	0	21.51783	21.88684	22.70322	18.95362	21.29238	21.77844	0	0	20.38827	20.97407	0
P01779	26.44826	25.56454	24.77937	26.06466	27.00764	26.16196	26.65444	26.46656	25.85778	25.44278	26.19567	25.99697	26.40158	27.30713	25.96798	25.19348	26.88809	25.12333	25.53326	26.32841	25.90708	25.41548
P01780	20.70151	0	20.35305	0	0	20.28048	20.06474	21.05039	0	0	21.08868	24.35394	20.73091	19.59956	21.04727	0	20.14171	0	20.56216	0	0	20.79098
P01833_PIGR	30.49181	30.40761	31.22613	29.92507	30.62322	31.03728	31.60704	29.67319	28.8781	29.65671	30.64315	32.66924	31.22705	31.86327	30.06805	28.85073	30.96065	31.34276	30.83281	29.25226	30.39438	29.2194
P01859_IGHG2	26.60597	25.97073	24.91306	27.0403	26.33887	27.04833	26.2851	29.06723	29.59746	27.27044	27376	27.82287	26.4993	27.62352	27.80809	27.27932	28.53241	25.48732	26.99086	25.36383	28.88064	27.6977
P01861_IGHG4	23.46688	21.25275	0	22.56749	21.8756	23.6767	23.39689	23.68346	24.87942	23.49802	24.53112	22.20568	22.94399	23.47321	23.05301	23.35609	27834	0	22.2741	22.68138	25.01321	25.19843
P01876_IGHA1	32.79987	32.80027	33.33418	32.69979	33.8438	33.03106	33.42392	32.76768	31.79692	32.60605	33.49798	34.21103	33.80636	22.32918	32.91947	32.52367	33.07011	33.6703	32.8572	33.46405	33.23221	31.85649
P01877_IGHA2	28.64389	29.59587	28.01505	27.90747	30.13687	30.10425	30.30345	28.05025	27.76484	29.31984	29.89952	31.17451	30.18707	0	29.46429	27.6463	29.78745	30.90096	30.02419	27.67135	29.44678	27.57376
P02647_APOA1	25.28771	25.39473	26.56873	25.52779	25.2696	26.74291	28.58674	30.97295	29.5903	25.80838	28.62289	27.51788	25.84189	27.73473	29.23078	26.20023	30.04022	25.16898	27.09859	26.52465	27.93568	29.73001
P02671_FGA	23.88353	23.07501	22.30689	21.34245	0	24.78352	24.88999	27.0626	25.05598	24.07871	21.95759	25.67648	21.78572	24.26821	25.12321	27.46404	26.31025	23.43352	24.27227	23.44973	25.63423	25.01116
P02675_FGB	25.24532	25.42224	24.09579	25.16657	24.87783	25.85017	25.77183	28498	26.65226	26.36503	25.97406	27.15296	25562	25.61352	27.11357	28.52597	27.49876	25.00552	26.41377	25.0876	26.80723	25.93569
P02750_LRG1	21.72376	20.92209	21.5827	21.23298	23.65971	23.41158	23.24339	27.18735	23.64482	23.21122	23.66969	25.33115	21.50198	26.55998	23.75573	23.73242	23.40198	23.39165	23.62801	23.71858	23.01526	24.46488
P02753_RBP4	20.81261	21.6001	21.05019	21.58706	0	21.28059	20.48099	24.6825	22.77666	21.70527	21.42931	21.0454	0	22.79456	22.56484	23.37053	21.82221	21.63298	21.96088	21.76648	20.20216	23.30187
P02760_AMBP	20.75214	0	20.70986	20.75197	0	22.1835	0	23.34286	20.69515	0	22.53576	21.50698	21.03127	21.55375	22.45571	22.56611	22.82984	21.32965	22.42864	21.70885	22.06171	0
P02763_ORM1	25.0831	22.74561	21.65373	23.82104	21.86098	24.7574	24.53184	29.29748	26.84817	26.14048	25.46871	27.11625	23.59787	23.72234	26.48878	28.46852	26.75608	22.79761	26.38859	21.87613	25.93562	27.53534
P02787_TF	27.67633	26.66546	28.03554	28.36536	27.66851	29.06337	28.96983	31.46636	30.27531	29.12886	30.31019	29.63355	28.19601	29197	30.56347	28.94604	29.68291	28.62519	29.91812	29.31862	29.1938	31.0803
P02790_HPX	24.94002	24.03112	24.48922	25.3049	23.83528	26.86266	25.57193	28.68134	27.23927	26.0303	27.12642	26.77102	24.73071	25.66595	27.44924	27.61006	27.56449	25.2753	26.05227	24.86835	25.67648	27.30173
P02814_SMR3B	0	29.59479	26.97596	28.57199	29.78499	20.60132	31.90182	24.87774	25.6064	27.61034	29.88242	27.46956	30.08068	18.54638	27.75799	30.56247	30.31668	31.7317	28.63079	24.40756	24.2129	30.95213
P03973_SLPI	23.81049	27.19554	26.63907	23.14815	25.33528	25.09889	27.31242	22.58925	21.99773	23.43632	24.26642	27.26374	24.35897	24.70715	22.87776	24.11497	25.44815	26.94179	23.76213	22.3652	25.49528	21.1283
P04004_VTN	20.96642	20.75393	21014	21.05258	0	22.15922	22.75395	21.78548	20.91809	19.46465	21.31954	20.40873	20.52487	20.82283	22.81102	23.13569	19.98746	0	0	22.9276	21.04354	0
P04040_CAT	27.65144	23.54922	23.66025	26.16523	24.11235	25.3808	25.01031	25.10841	26.13563	26.69962	24.82187	0	26.87162	23.60184	25.39774	26098	23.92877	0	25.11406	26.3305	24.06751	25.70266
P04080_CSTB	28.80827	28.60756	28.32813	29.69637	27.75532	28.78874	26.66153	27.7506	25.87312	28.35716	27.84236	27.96389	27.79346	28.55486	27.7481	26.30855	27.04364	28.69186	27.30756	28.75002	27.74066	28.98709
P04083_ANXA1	25.59149	29.51741	30.91698	25.88821	23.56883	24.89587	27.45764	23.75501	24.79981	24.23191	25.32485	25.82369	25.44708	25.93603	24.82026	25764	24.9581	25.56026	25.59531	26.87326	25.96963	26.04327
P04196_HRG	18.12207	0	18.43461	0	0	17.82582	19.08745	21.07241	19.37876	0	19.37715	19.08384	18.1567	18.87814	20.57348	20.31052	20.59941	17.93934	0	18.71559	19.82036	0
P04217_A1BG	23.8292	23.35272	23.52109	24.13258	0	24.63467	24.79169	27.33253	25.45146	24.87272	24.63262	24.12353	23.90729	25.39352	25.52214	24.84867	25.0178	23.70049	25.60518	24.47259	23.25911	25.80521
P04264_KRT1	24.32292	26.62854	27.80526	23.53517	23.73293	25.34685	25.23983	24.48339	24.78427	24.24264	24.4627	24.93944	23.66677	24.48468	24.43256	25.14223	24.45858	24.16714	26.12837	23.91843	23.13152	25.28842
P04280_PRB1	0	29.97117	0	27.93067	31.28019	0	23.27838	20.91225	27.60576	27.77172	30.41599	25.54681	31.11017	0	31.89587	28.13907	28.8962	30.38309	32.83185	22.86299	22.4179	30.31495
P04745_AMY1A	32.8868	35.14759	34.4956	34.42104	36.25381	33.99446	35.65344	32.42415	34.19278	34.59641	36.54366	35.72222	36.07094	32.57761	34.9159	32.54573	33.85043	34.67403	34.56189	34.5984	35.31328	34.7753
P04792_HSPB1	22.60356	26.6071	27.9667	22.83863	23.06024	26.05712	26.53257	23.44025	20.32619	22.48908	22.37257	23.63279	22.31163	25.08188	21.90275	21.39263	25.2221	22.70109	23.78297	23.26599	24.8009	22.2364
P04899_4_GNAI2	22.19526	21.53588	21.89689	21.40218	0	21.13101	22.49924	0	24.04885	21.13859	20.92064	20.93308	22.31299	20.91656	0	22.01567	21.06559	20.7185	0	21.79578	21.14196	0
P05109_S100A8	32.25839	30.37431	31.16375	30.68295	27.11068	28.76869	31.0027	30.2113	31.71996	31.43405	29.92281	27.86479	29.60024	28.54745	30.68637	31.48265	31.21761	29.42017	30.76888	27.01776	30.34181	27.72371
P05164_3_MPO	29.54237	28.55552	27.42101	29.14897	27.80107	29.34534	28.83596	26.44069	25.83362	28.28978	27.37318	24.81982	28.17355	28.02728	28.16763	29.74061	27.47615	24.08853	25.81189	28.11714	28.00217	25.46283
P05386_RPLP1	21.1561	22.07516	22.66564	22.0415	19.35595	20.74057	18.88178	0	18.23953	0	0	0	18.25308	20.35434	18.78056	20.81488	18.19801	0	0	20.91678	19.73486	0
P06396_GSN	27.20341	25.54457	26.1662	27.0503	25.2821	26.88402	26.27005	25.97515	27.06137	27.13712	25.94835	25.33994	27.19225	25.82978	26.95149	26.96213	25.86877	25.5545	26.43603	25.89784	26.06864	25.38729
P06702_S100A9	32.00655	31.15611	31.1278	30.6422	29.03978	29.82246	31.57018	31.39943	32.86587	32.30228	31.21495	28.83542	29.71781	29.75661	31.49032	32.48008	31.26718	29.94377	31.5538	28.20396	30.85177	29.29842
P06733_ENO1	28.89024	27.35203	28.27298	28.9348	27.25142	28.4903	27.67755	27.69922	28.41989	29.36728	26.76446	26.98403	28.16519	29.06283	27.90965	27.19507	27.21438	26.88821	27.19432	27.65956	27.54724	27.67081
A0A0A0MTS2_GPI	27.88011	26.36808	26.96488	28.20439	26.07147	27.74034	26.49599	26.91251	26.91787	27.84631	26.26492	25.4656	27.63312	27.08801	26.60074	27.70892	26.11263	25905	25.46295	26.53967	26.37667	22.88254
P06870_KLK1	27.39942	27.72767	27.33202	28.17374	29.34128	27.41555	27.84936	24.12116	25.60865	26.23568	27.91832	27.98251	28.27298	28.64623	25.99038	27.01914	28.90813	29.87714	27.67452	28.02855	28.58158	26.28069
P07108_6_DBI	22.39074	22.25399	23.19445	23.24252	22.41369	24.13821	20.50843	22.0417	20.03926	22.43247	22.12525	0	0	23.31161	21.30095	20.37124	21.94306	23.16904	0	0	23.34191	23.68024
P07237_P4HB	23.96552	24.49582	25.4303	25.05499	23.4139	24.66172	25.11736	22.5567	22.57353	23.68292	24.52019	23.66893	24.52355	24.80346	22.97643	23.36959	22656	23.18042	23.64988	23.89338	23.39388	22.05735
P07339_CTSD	23.36078	23.1897	22.83134	23.63012	22.84946	21.72538	24.04827	20.17682	20.78684	22.68436	22.29089	22.57496	21.4957	24.23951	20.67185	21.77929	22.33274	21.91313	21.74763	21.83507	22.54406	21.02371
P07737_PFN1	27.02802	24.92737	25.47429	27.47313	24.93071	26.54239	26.19622	26.24773	28.14258	28.1625	25.39336	24.52803	27.77593	24.52975	26.44828	27.23187	25.71424	24.40574	25.10073	26.62701	25.72226	25.75062
P07858_CTSB	22.95608	24.66823	23.78227	23.96455	23.87858	22.64946	25.09824	22.52394	23.04945	23.23637	23.60716	23.99774	24.91557	25.74314	23.23672	22.88746	22.68551	23.51412	23.81831	22.98631	22.62509	24.97316
P07900_2_HSP90AA1	22.85802	23.4025	23.6767	22.94025	22.14687	21.19724	23.66014	21.20383	23.73676	22.44975	22.10181	0	22.14768	22.70276	22.33816	22.74277	21.41777	0	22.13129	23.19224	22.5899	0
P07996_THBS1	21.81452	22.92685	21.03543	21.23538	0	22.03171	22.88863	0	0	20.5827	21.66523	20.85582	20.70852	21.50978	21.1706	20.99106	21.44329	21.15678	0	0	22.18365	0
P08107_HSPA1A	26.81115	25.6596	26.62394	26.88646	25.46849	26.20613	25.90882	25.77621	26.75595	27.32303	25.25173	24.79184	26.30379	26.33936	26.37758	26.2348	25.2027	25.85949	25.88257	25.94345	25.34279	26.13954
P08238_HSP90AB1	21.57971	22.11896	22.94625	22.24386	0	20.52382	23.37066	20.9903	22.49216	21.98732	21.13232	0	20.75271	21.5317	21.20592	21.84912	21.54557	0	21.31744	23.40484	22.57219	0
P08246_ELANE	26.51459	26.74561	24.81078	26.78469	0	24.47593	26.0224	24.78477	24.13931	24.92904	23.29053	22.64623	25.64425	23.70388	25.22004	26.41654	25.39823	24.71219	0	26.61203	24.87094	23.31188
P08311_CTSG	23.3415	25.78422	24.46719	24.2514	23.20241	23.89273	25.6916	23.60445	24.16308	22.85289	24.33872	21.19976	23.22326	22.34082	21.38153	24.71958	23.34773	21.62832	22.90531	23.83528	24.95549	22.17579
P08571_CD14	0	20.69787	20.39174	19.4786	20.65316	0	21.26528	20.40229	0	20.26785	0	21.93582	0	23.70883	18.78488	19.44117	20.50795	0	0	0	0	19.3308
P08603_CFH	20.63192	21.23029	0	0	0	21.05152	23061	25.87561	22.97176	21.80951	22.44334	22.38155	0	22.14012	22.41093	24.16139	23.36011	21.19202	0	0	22.37761	20.86688
P09211_GSTP1	26.6599	27.03978	28.2013	28.33726	26.98859	27.11357	27.18641	27.03852	26.3887	27.45732	26.50528	26.22325	27.18177	28.15306	26.93506	26.50844	26.37426	26.40853	26.09043	26.93337	26.76825	28.22674
P09228_CST2	28.07352	29.63289	28.22564	28.97858	27.73344	26.28685	26.58935	0	0	21.67288	25.48379	26.1764	29.16749	23.99731	21.22535	24.47271	27.96631	28104	28.0238	25.88339	26.99291	22.73287
P09960_LTA4H	25.12041	23.10024	22.53576	25.34658	0	24.53943	23.46899	23.39715	25.34459	26.07001	22.26135	21.94592	25.37431	23.27056	24.75618	25.10849	22.6465	0	0	24.02369	24.39552	0
P0C0S8_HIST1H2AG	25.92567	25.40191	27.55421	25.76317	25.37696	24.97342	24.38489	24.64966	22.50531	25.21875	25.35394	24.40976	24.76162	26.27154	25.15661	28.24767	25.71353	24.28694	0	24.60337	25.52594	24.0662
P10412_HIST1H1E	25.91205	25.47163	24.97531	25.21616	0	26.19084	21.98971	22.5673	26.18435	25.74978	23.34164	21.68697	26.55859	25.03591	26.15041	27.09688	24.48591	24.36573	26.24728	28.07938	24.80218	25.4665
P10599_TXN	24.95828	25.02449	26.77153	27.07368	23.68346	26.1844	25.35693	26.81274	25.11116	25.74119	25.70036	25.03783	25.00101	27.26338	24.03674	23.89393	25.22387	25.74044	23.59092	23.8866	24.55075	27.74394
P10909_2_CLU	21.41967	22.28602	23.28136	23.26026	22.54882	23.39689	22.78923	21.2352	21.6439	21.9775	24.20172	24.85894	22.74538	23.6381	22.30708	21.99231	24.4597	24.68811	23.26757	22.96335	24.34204	0
P11021_HSPA5	25.15116	25.19408	25478	25.6186	23.35891	24.40639	25.33776	24.07259	23.98711	25.28253	23.68987	23.87895	24.54115	25.88108	24.18745	24.39133	24.13359	23.73066	23.28122	25.23037	23.63157	24.78531
P11142_HSPA8	25.10306	24.4491	26.00333	26.09565	23.83345	24.85738	24.29256	24.7638	25.42021	26.21412	25.09583	24.7749	25.54972	26.21306	25.53214	24.74381	24.88376	25.36743	25.11347	23.92714	25.04177	25.49051
P11215_2_ITGAM	21.46678	20.71028	20.66648	20.75874	0	20.3756	24.11044	20.0777	23.03135	21.1561	20.79098	0	21.0988	0	0	0	20.47179	0	20.13646	20.82058	21.16214	21.19256
P12273_PIP	27.60024	30.14577	31.16603	29.28978	30.8162	29.86106	32.02878	22.72601	26.89481	27.65287	30.07584	31.20542	29.2377	28.44995	27.60399	28.66319	31.10506	31.42081	29.05592	27.06723	28.2575	26.96741
P12429_ANXA3	21.13884	23.05005	21.26534	21.57639	22.45159	21.43258	24.68507	0	21.30318	0	21.51735	0	21.55506	19.40329	21.68505	21615	20.95362	0	21.43217	21.21324	20.99376	21.49219
P12814_3_ACTN1	25.72588	24.92511	25.56549	25.57664	24.28362	25.54079	25.26749	24.35057	25.69716	23.94664	24.11402	23.95872	25.47794	24.2844	25.24042	26.93337	25.11358	23.15966	24.69588	24.38621	25.27565	0
P13688_CEACAM1	21.80613	21.19922	20.68902	23.11063	0	21.91929	22.54359	19.9046	22.0433	22.19048	21.12937	21.22923	21.60332	21.59181	20.99542	21.65351	21.10655	20.48591	21.34646	0	0	21.2986
P13796_LCP1	27.4505	25.05701	23.99352	26.44832	24.53368	25.70293	26.10171	26.37773	27.74593	27.56485	25.44272	23.8812	26.80637	24.33634	26.6502	27.28815	25.54058	25.00787	25.56221	26.67169	25.59551	27.47475
P14174_MIF	25.73399	23.07151	24.4295	26.21987	23636	23.93103	23.49838	24.74073	23.78596	26.82917	23.87895	23.74643	25.4593	25.74175	25.59733	23.86514	22.43883	22.37714	22.03154	24.1354	23.97079	22.71022
P14550_AKR1A1	21.73876	0	22.2509	22.17563	0	22.00946	22.23093	22.36164	22.24159	22.59307	0	0	0	21.41967	0	20.63414	21.2143	21.62925	21.72887	21.05006	21.88461	0
P14618_PKM2	26.91513	25.91091	26.28343	27.26776	24.23191	26.28607	26.99291	27.05175	26.59121	28.67482	24.31755	23.78756	25.83079	26.34699	25.24023	26.34924	24.62817	24719	23.75562	26.91365	26.16129	25.04072
P14780_MMP9	26.8023	25.84122	23.91059	26.48815	25.48843	26.13964	26.17234	25.50382	27.82025	27.65615	25.72915	23.97369	25.98653	23.80912	26.6584	26.92762	24.59844	24.22935	26.31952	26.28357	25.4986	25.78402
P16401_HIST1H1B	26.32565	24.44941	24.71455	25.75098	23.42124	25.91914	21.23993	22.2856	25.56206	24.95925	24.16906	0	25.69991	24.21756	24.93197	27.11506	24.46694	23.86703	25.93519	27.31967	25.42179	23.02538
P16402_HIST1H1D	21.46608	19.97113	19.78336	21.78804	0	20.39132	0	0	20.13471	20.15078	0	0	20.97176	20.47714	0	21.79348	19.51515	0	21.38617	20.64271	0	0
P16403_HIST1H1C	26.38032	24.30389	24.56692	23.43415	23.38759	26.03689	0	23.35367	26.9007	0	23.53433	22.99943	24.54197	24.80238	24.50015	25.82539	24.72879	24.14864	25.84864	26.48048	24.90775	0
