"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"140",140,0,"P20160_AZU1",0.75
"141",141,0,"P20061_TCN1",0.814814814814815
"142",142,0,"P19961_AMY2B",0.796296296296296
"143",143,0,"P18669_PGAM1",0.824074074074074
"144",144,0,"P18510-2_IL1RN",0.712962962962963
"145",145,0,"P17931_LGALS3",0.75
"146",146,0,"P17174_GOT1",0.75
"147",147,0,"P16403_HIST1H1C",0.87037037037037
"148",148,0,"P16402_HIST1H1D",0.796296296296296
"149",149,0,"P16401_HIST1H1B",0.824074074074074
"150",150,0,"P14780_MMP9",0.824074074074074
"151",151,0,"P14618_PKM2",0.814814814814815
"152",152,0,"P13796_LCP1",0.759259259259259
"153",153,0,"P13688_CEACAM1",0.712962962962963
"154",154,0,"P12814-3_ACTN1",0.814814814814815
"155",155,0,"P11021_HSPA5",0.759259259259259
"156",156,0,"P10909-2_CLU",0.787037037037037
"157",157,0,"P10599_TXN",0.768518518518518
"158",158,0,"P10412_HIST1H1E",0.777777777777778
"159",159,0,"P0C0S8_HIST1H2AG",0.731481481481482
"160",160,0,"P09960_LTA4H",0.787037037037037
"161",161,0,"P09211_GSTP1",0.722222222222222
"162",162,0,"P08603_CFH",0.787037037037037
"163",163,0,"P08571_CD14",0.75
"164",164,0,"P08246_ELANE",0.796296296296296
"165",165,0,"P08238_HSP90AB1",0.768518518518518
"166",166,0,"P08107_HSPA1A",0.740740740740741
"167",167,0,"P07996_THBS1",0.777777777777778
"168",168,0,"P07900-2_HSP90AA1",0.759259259259259
"169",169,0,"P07737_PFN1",0.712962962962963
"170",170,0,"P07339_CTSD",0.75
"171",171,0,"P07237_P4HB",0.712962962962963
"172",172,0,"P06733_ENO1",0.675925925925926
"173",173,0,"P06702_S100A9",0.666666666666667
"174",174,0,"P06396_GSN",0.712962962962963
"175",175,0,"P05164-3_MPO",0.740740740740741
"176",176,0,"P05109_S100A8",0.722222222222222
"177",177,0,"P04899-4_GNAI2",0.731481481481482
"178",178,0,"P04745_AMY1A",0.712962962962963
"179",179,0,"P04264_KRT1",0.787037037037037
"180",180,0,"P04217_A1BG",0.796296296296296
"181",181,0,"P04196_HRG",0.777777777777778
"182",182,0,"P04083_ANXA1",0.638888888888889
"183",183,0,"P04080_CSTB",0.712962962962963
"184",184,0,"P04040_CAT",0.685185185185185
"185",185,0,"P04004_VTN",0.638888888888889
"186",186,0,"P03973_SLPI",0.685185185185185
"187",187,0,"P02790_HPX",0.712962962962963
"188",188,0,"P02763_ORM1",0.75
"189",189,0,"P02675_FGB",0.777777777777778
"190",190,0,"P02671_FGA",0.796296296296296
"191",191,0,"P02647_APOA1",0.768518518518518
"192",192,0,"P01877_IGHA2",0.722222222222222
"193",193,0,"P01876_IGHA1",0.75
"194",194,0,"P01861_IGHG4",0.675925925925926
"195",195,0,"P01859_IGHG2",0.731481481481482
"196",196,0,"P01833_PIGR",0.722222222222222
"197",197,0,"P01780",0.666666666666667
"198",198,0,"P01779",0.75
"199",199,0,"P01767",0.712962962962963
"200",200,0,"P01763",0.75
"201",201,0,"P01717",0.703703703703704
"202",202,0,"P06314_IGKV4-1",0.638888888888889
"203",203,0,"P01623",0.592592592592593
"204",204,0,"P01622",0.648148148148148
"205",205,0,"P01616",0.703703703703704
"206",206,0,"P01598",0.638888888888889
"207",207,0,"P01593",0.657407407407407
"208",208,0,"P01042-2_KNG1",0.675925925925926
"209",209,0,"P01036_CST4",0.574074074074074
"210",210,0,"P01034_CST3",0.731481481481482
"211",211,0,"P01033_TIMP1",0.648148148148148
"212",212,0,"P00558_PGK1",0.611111111111111
"213",213,0,"P00491_PNP",0.648148148148148
"214",214,0,"P00338-3_LDHA",0.62962962962963
"215",215,0,"O95336_PGLS",0.62962962962963
"216",216,0,"O95274_LYPD3",0.675925925925926
"217",217,0,"O75594_PGLYRP1",0.657407407407407
"218",218,0,"O60888-2_CUTA",0.62037037037037
"219",219,0,"O15511-2_ARPC5",0.712962962962963
"220",220,0,"O00391_QSOX1",0.648148148148148
"221",221,0,"O00299_CLIC1",0.62962962962963
"222",222,0,"P68431_HIST1H3A",0.638888888888889
"223",223,0,"P04075-2_ALDOA",0.62962962962963
"224",224,0,"J3KPA1_CRISP3",0.638888888888889
"225",225,0,"Q9NZL9_MAT2B",0.648148148148148
"226",226,0,"P06576_ATP5B",0.75
"227",227,0,"P17858_PFKL",0.638888888888889
"228",228,0,"P09382_LGALS1",0.592592592592593
