protein, probability of being in a group of size from 1 to 3 with acc higher or equal to 0.8182
P04792_HSPB1,0.25
P01009_SERPINA1,0.25
P00330_ADH1,0.333333333333
P09228_CST2,0.166666666667
CON__P00761,0.25
