classifier;all_proteins-mean;all_proteins-std
SVM_Linear;0.322222222222;0.0
SVM_Poly;0.266666666667;0.0
SVM_RBF;0.0;0.0
NSC;0.329411764706;0.0
Gaussian Naive Bayes;0.501307189542;0.0
Random Forest;0.457671957672;0.0
Decision Tree;0.679365079365;0.0
