classifier;inserted_proteins-mean;inserted_proteins-std
SVM_Linear;0.535714285714;0.0
SVM_Poly;0.642857142857;0.0
SVM_RBF;0.678571428571;0.0
NSC;0.678571428571;0.0
Gaussian Naive Bayes;0.678571428571;0.0
Random Forest;0.642857142857;0.0
Decision Tree;0.607142857143;0.0
