classifier;all_proteins-mean;all_proteins-std
SVM_Linear;0.277777777778;0.0
SVM_Poly;0.245421245421;0.0
SVM_RBF;0.0;0.0
NSC;0.287749287749;0.0
Gaussian Naive Bayes;0.52380952381;0.0
Random Forest;0.47619047619;0.0
Decision Tree;0.672619047619;0.0
