protein, counting from 9 of being in a group of size from 1 to 3 with acc higher or equal to 0.861111111111
B4E1Z4_CFB,2
P02787_TF,3
Q99879_HIST1H2BM,3
Q9NZL9_MAT2B,0
CON__P02768_1_ALB,1
P01008_SERPINC1,2
P00330_ADH1,8
P52209_PGD,3
P09228_CST2,2
