protein,protein frequency
P23284_PPIB        ,99                 
P23381_WARS        ,0                  
E9PK25_CFL1        ,1094               
P24158_PRTN3       ,0                  
P25311_AZGP1       ,0                  
P26038_MSN         ,467                
P28325_CST5        ,0                  
P29401_2_TKT       ,2628               
P29508_SERPINB3    ,957                
P30044_PRDX5       ,0                  
P30101_PDIA3       ,32                 
P30740_SERPINB1    ,38                 
P31025_LCN1        ,10                 
P31146_CORO1A      ,6                  
P31151_S100A7      ,66                 
P31946_YWHAB       ,0                  
P31947_SFN         ,0                  
P31949_S100A11     ,0                  
P32119_PRDX2       ,381                
P32926_DSG3        ,0                  
P35321_SPRR1A      ,2                  
P35579_MYH9        ,0                  
P36952_SERPINB5    ,0                  
P37802_2_TAGLN2    ,0                  
P37837_TALDO1      ,183                
P40121_CAPG        ,24                 
P43652_AFM         ,3584               
B1AK88_CAPZB       ,8                  
P50395_GDI2        ,0                  
P52209_PGD         ,0                  
P52566_ARHGDIB     ,3584               
P52907_CAPZA1      ,16                 
P55058_PLTP        ,0                  
P59665_DEFA1       ,42                 
P59998_3_ARPC4     ,142                
P60174_TPI1        ,0                  
P61158_ACTR3       ,4                  
P61160_ACTR2       ,0                  
P61586_RHOA        ,20                 
P61626_LYZ         ,704                
P61769_B2M         ,2                  
P62258_YWHAE       ,0                  
P62328_TMSB4X      ,979                
P62805_HIST1H4A    ,0                  
P62937_PPIA        ,159                
P63261_ACTG1       ,53                 
P63313_TMSB10      ,0                  
P68032_ACTC1       ,3584               
P68371_TUBB4B      ,33                 
P68871_HBB         ,3584               
P69905_HBA1        ,1377               
P78417_GSTO1       ,0                  
X6R8F3_LCN2        ,55                 
P80511_S100A12     ,0                  
P80748             ,340                
Q01469_FABP5       ,0                  
Q01518_CAP1        ,788                
Q02413_DSG1        ,0                  
Q02487_DSC2        ,0                  
Q07654_TFF3        ,0                  
Q08188_TGM3        ,0                  
Q08380_LGALS3BP    ,346                
Q13404_UBE2V1      ,473                
Q14508_WFDC2       ,0                  
Q14847_LASP1       ,825                
Q14974_KPNB1       ,458                
Q14CN2_CLCA4       ,0                  
A0A087WV23_SH3BGRL3,12                 
P21333_FLNA        ,32                 
Q68D86_CCDC102B    ,32                 
Q6P5S2_C6orf58     ,0                  
Q8N4F0_BPIFB2      ,0                  
Q8TAX7_MUC7        ,0                  
Q8TDL5_BPIFB1      ,18                 
Q96DA0_ZG16B       ,45                 
Q96DR5_BPIFA2      ,0                  
Q99536_VAT1        ,455                
Q99879_HIST1H2BM   ,0                  
Q9BRA2_TXNDC17     ,348                
Q9BRF8_CPPED1      ,0                  
Q9HC84_MUC5B       ,15                 
Q9HD89_RETN        ,158                
Q9NQ38_3_SPINK5    ,4                  
Q9UBC9_SPRR3       ,350                
Q9UBG3_CRNN        ,14                 
Q9UBX7_3_KLK11     ,9                  
Q9UGM3_6_DMBT1     ,1014               
Q9UIV8_SERPINB13   ,42                 
Q9UKR3_KLK13       ,0                  
REV__P04280        ,2                  
REV__Q8NDM7        ,0                  
REV__Q13085_4      ,0                  
V9HW75_NUCB2       ,57                 
