protein, probability of being in a group of size from 1 to 3 with acc higher or equal to 0.8182
P05164_3_MPO,0.166666666667
P08246_ELANE,0.166666666667
P01009_SERPINA1,0.0833333333333
CON__P00761,0.333333333333
P04792_HSPB1,0.25
