source,target,weight
P00924_ENO1,CON__P00761,2
CON__P00761,P05386_RPLP1,71
P00924_ENO1,P05386_RPLP1,1
CON__P00761,CON__P01966,4
P00924_ENO1,CON__P01966,1
P68431_HIST1H3A,CON__P00761,3
CON__P00761,P04080_CSTB,43
P68431_HIST1H3A,P04080_CSTB,1
P68431_HIST1H3A,P05386_RPLP1,1
CON__P00761,P01009_SERPINA1,56
P68431_HIST1H3A,P01009_SERPINA1,1
O95336_PGLS,CON__P00761,6
O95336_PGLS,P04080_CSTB,1
O95336_PGLS,P05386_RPLP1,1
O95336_PGLS,P01009_SERPINA1,1
CON__P00761,P01008_SERPINC1,42
O95336_PGLS,P01008_SERPINC1,1
CON__P00761,P02675_FGB,43
O95336_PGLS,P02675_FGB,1
CON__P00761,P00330_ADH1,38
O95336_PGLS,P00330_ADH1,1
P26038_MSN,CON__P00761,3
CON__P00761,Q99879_HIST1H2BM,65
P26038_MSN,Q99879_HIST1H2BM,1
P26038_MSN,P01009_SERPINA1,1
P26038_MSN,P00330_ADH1,1
P26038_MSN,P52209_PGD,1
P52209_PGD,B7Z6Z4_MYL6,1
P26038_MSN,B7Z6Z4_MYL6,1
P15153_RAC2,CON__P00761,7
CON__P00761,Q06830_PRDX1,3
P15153_RAC2,Q06830_PRDX1,1
P15153_RAC2,Q99879_HIST1H2BM,1
P15153_RAC2,P04080_CSTB,1
P15153_RAC2,P05386_RPLP1,1
CON__P00761,B7Z6Z4_MYL6,11
P15153_RAC2,B7Z6Z4_MYL6,1
P15153_RAC2,P02675_FGB,1
CON__P00761,A0A087WV23_SH3BGRL3,9
P15153_RAC2,A0A087WV23_SH3BGRL3,1
P15153_RAC2,P01009_SERPINA1,1
P01009_SERPINA1,P16403_HIST1H1C,2
P15153_RAC2,P16403_HIST1H1C,1
P31947_SFN,CON__P00761,2
P31947_SFN,Q99879_HIST1H2BM,1
P31947_SFN,P00330_ADH1,1
CON__P00761,P60174_TPI1,2
P60174_TPI1,P05386_RPLP1,1
P60174_TPI1,P01009_SERPINA1,1
Q06830_PRDX1,Q9UGM3_6_DMBT1,1
CON__P00761,Q9UGM3_6_DMBT1,8
Q06830_PRDX1,P30740_SERPINB1,1
CON__P00761,P30740_SERPINB1,9
CON__P00761,P35579_MYH9,2
P35579_MYH9,Q99879_HIST1H2BM,1
P35579_MYH9,P05386_RPLP1,1
CON__P00761,P08238_HSP90AB1,3
P08238_HSP90AB1,Q99879_HIST1H2BM,1
P08238_HSP90AB1,P05386_RPLP1,1
P08238_HSP90AB1,P00330_ADH1,1
CON__P00761,P00738_HP,3
P00738_HP,Q99879_HIST1H2BM,1
P00738_HP,P05386_RPLP1,1
P00738_HP,P01008_SERPINC1,1
CON__P00761,P01036_CST4,2
P01036_CST4,P05386_RPLP1,1
P01036_CST4,P01008_SERPINC1,1
Q99879_HIST1H2BM,A0A087WZM2_RNASET2,1
CON__P00761,A0A087WZM2_RNASET2,6
Q99879_HIST1H2BM,P04080_CSTB,1
Q99879_HIST1H2BM,Q9BRF8_CPPED1,1
CON__P00761,Q9BRF8_CPPED1,3
Q99879_HIST1H2BM,P08670_VIM,1
CON__P00761,P08670_VIM,4
Q99879_HIST1H2BM,P18669_PGAM1,1
CON__P00761,P18669_PGAM1,4
Q99879_HIST1H2BM,P05386_RPLP1,1
Q99879_HIST1H2BM,P13796_LCP1,1
CON__P00761,P13796_LCP1,3
Q99879_HIST1H2BM,P23381_WARS,1
CON__P00761,P23381_WARS,5
Q99879_HIST1H2BM,P61626_LYZ,1
CON__P00761,P61626_LYZ,3
Q99879_HIST1H2BM,P09429_HMGB1,1
CON__P00761,P09429_HMGB1,3
Q99879_HIST1H2BM,A0A075B6L0_IGLC3,1
CON__P00761,A0A075B6L0_IGLC3,4
Q99879_HIST1H2BM,Q8TDL5_BPIFB1,1
CON__P00761,Q8TDL5_BPIFB1,5
Q99879_HIST1H2BM,A0A075B6R9,1
CON__P00761,A0A075B6R9,7
Q99879_HIST1H2BM,P13688_CEACAM1,1
CON__P00761,P13688_CEACAM1,6
Q99879_HIST1H2BM,P62328_TMSB4X,1
CON__P00761,P62328_TMSB4X,4
Q99879_HIST1H2BM,P32926_DSG3,1
CON__P00761,P32926_DSG3,3
Q99879_HIST1H2BM,P68371_TUBB4B,1
CON__P00761,P68371_TUBB4B,2
Q99879_HIST1H2BM,P20618_PSMB1,1
CON__P00761,P20618_PSMB1,6
Q99879_HIST1H2BM,P04264_KRT1,1
CON__P00761,P04264_KRT1,4
Q99879_HIST1H2BM,Q9HD89_RETN,1
CON__P00761,Q9HD89_RETN,6
Q99879_HIST1H2BM,P55786_NPEPPS,1
CON__P00761,P55786_NPEPPS,5
Q99879_HIST1H2BM,P01763,1
CON__P00761,P01763,8
Q99879_HIST1H2BM,P10412_HIST1H1E,1
CON__P00761,P10412_HIST1H1E,4
Q99879_HIST1H2BM,P31025_LCN1,1
CON__P00761,P31025_LCN1,5
Q99879_HIST1H2BM,P04004_VTN,1
CON__P00761,P04004_VTN,4
Q99879_HIST1H2BM,Q9UGM3_6_DMBT1,1
Q99879_HIST1H2BM,P01008_SERPINC1,1
Q99879_HIST1H2BM,P25311_AZGP1,1
CON__P00761,P25311_AZGP1,3
Q99879_HIST1H2BM,P62942_FKBP1A,1
CON__P00761,P62942_FKBP1A,7
Q99879_HIST1H2BM,P09228_CST2,1
CON__P00761,P09228_CST2,4
Q99879_HIST1H2BM,A0A0A0MTS2_GPI,1
CON__P00761,A0A0A0MTS2_GPI,3
Q99879_HIST1H2BM,P08603_CFH,1
CON__P00761,P08603_CFH,5
Q99879_HIST1H2BM,P02675_FGB,1
Q99879_HIST1H2BM,P20061_TCN1,1
CON__P00761,P20061_TCN1,3
Q99879_HIST1H2BM,P21333_FLNA,1
CON__P00761,P21333_FLNA,5
Q99879_HIST1H2BM,P01023_A2M,1
CON__P00761,P01023_A2M,4
Q99879_HIST1H2BM,P09382_LGALS1,1
CON__P00761,P09382_LGALS1,5
Q99879_HIST1H2BM,P01624,1
CON__P00761,P01624,2
Q99879_HIST1H2BM,P04217_A1BG,1
CON__P00761,P04217_A1BG,3
Q99879_HIST1H2BM,P24158_PRTN3,1
CON__P00761,P24158_PRTN3,2
Q99879_HIST1H2BM,P01876_IGHA1,1
CON__P00761,P01876_IGHA1,5
Q99879_HIST1H2BM,P16401_HIST1H1B,1
CON__P00761,P16401_HIST1H1B,5
Q99879_HIST1H2BM,P06702_S100A9,1
CON__P00761,P06702_S100A9,2
