p-valor < P, N proteins,RandomForest_rep-0,RandomForest_rep-1,RandomForest_rep-2,RandomForest_rep-3,RandomForest_rep-4,RandomForest_rep-5,RandomForest_rep-6,RandomForest_rep-7,RandomForest_rep-8,RandomForest_rep-9,DecisionTree_rep-0,DecisionTree_rep-1,DecisionTree_rep-2,DecisionTree_rep-3,DecisionTree_rep-4,DecisionTree_rep-5,DecisionTree_rep-6,DecisionTree_rep-7,DecisionTree_rep-8,DecisionTree_rep-9,SVM_rep-0,SVM_rep-1,SVM_rep-2,SVM_rep-3,SVM_rep-4,SVM_rep-5,SVM_rep-6,SVM_rep-7,SVM_rep-8,SVM_rep-9,NSC_rep-0,NSC_rep-1,NSC_rep-2,NSC_rep-3,NSC_rep-4,NSC_rep-5,NSC_rep-6,NSC_rep-7,NSC_rep-8,NSC_rep-9,GaussianNaiveBayes_rep-0,GaussianNaiveBayes_rep-1,GaussianNaiveBayes_rep-2,GaussianNaiveBayes_rep-3,GaussianNaiveBayes_rep-4,GaussianNaiveBayes_rep-5,GaussianNaiveBayes_rep-6,GaussianNaiveBayes_rep-7,GaussianNaiveBayes_rep-8,GaussianNaiveBayes_rep-9
0.01,16,0.666666666667,1.0,1.0,1.0,1.0,0.666666666667,1.0,0.666666666667,1.0,0.666666666667,1.0,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.0,0.333333333333,1.0,0.333333333333,0.666666666667,1.0,1.0,0.666666666667,1.0,1.0,1.0,1.0,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,1.0,1.0,0.666666666667,1.0,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667
0.02,28,1.0,0.666666666667,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,1.0,0.333333333333,0.666666666667,0.666666666667,1.0,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,1.0,1.0,1.0,0.666666666667,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.333333333333,1.0,0.666666666667,1.0,1.0,0.666666666667,1.0,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,0.666666666667
0.03,35,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.333333333333,0.0,0.0,0.666666666667,1.0,1.0,0.666666666667,1.0,0.666666666667,1.0,1.0,1.0,0.0,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,1.0,1.0,1.0,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333
0.04,42,0.333333333333,1.0,0.333333333333,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,1.0,0.333333333333,1.0,0.0,1.0,0.333333333333,0.333333333333,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.333333333333
0.05,49,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,0.666666666667,1.0,0.333333333333,0.0,0.333333333333,1.0,0.666666666667,0.666666666667,0.333333333333,0.333333333333,1.0,0.333333333333,0.0,0.666666666667,1.0,1.0,1.0,0.666666666667,0.333333333333,1.0,0.666666666667,1.0,1.0,1.0,0.666666666667,1.0,1.0,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,1.0,1.0,0.666666666667
0.06,59,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,1.0,0.333333333333,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,1.0,1.0,0.333333333333,0.666666666667,0.666666666667,0.333333333333,1.0,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,1.0,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,1.0,0.666666666667,1.0,1.0,0.666666666667,1.0,1.0,0.333333333333,0.666666666667,0.666666666667,1.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,1.0,0.666666666667
0.07,63,0.666666666667,0.666666666667,1.0,0.666666666667,1.0,0.333333333333,1.0,0.666666666667,0.333333333333,0.0,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,1.0,0.666666666667,1.0,1.0,0.666666666667,1.0,0.333333333333,0.666666666667,1.0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,1.0,0.333333333333
0.08,65,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.0,1.0,1.0,0.333333333333,1.0,0.666666666667,0.333333333333,0.0,1.0,1.0,1.0,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,0.666666666667,1.0,1.0,1.0,1.0,0.666666666667,0.333333333333,0.666666666667,1.0,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667
0.09,66,0.666666666667,0.333333333333,0.666666666667,1.0,1.0,0.666666666667,0.666666666667,1.0,1.0,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,1.0,0.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667,0.666666666667,1.0,1.0,1.0,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,0.0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667
0.1,75,0.333333333333,0.333333333333,0.666666666667,1.0,0.666666666667,0.333333333333,1.0,0.666666666667,0.666666666667,0.0,0.333333333333,0.666666666667,1.0,1.0,0.333333333333,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,1.0,0.666666666667,1.0,0.666666666667,1.0,1.0,0.666666666667,0.333333333333,1.0,0.666666666667,1.0,0.666666666667,0.666666666667,1.0,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1.0
