N,acc_svm,acc_tree,acc_nsc,acc_naive_bayes,groups
2,0.886666666667,0.4,0.9,0.846666666667,CON__P00761,P00330_ADH1
2,0.746666666667,0.78,0.4,0.933333333333,P00330_ADH1,P00450_CP
2,0.853333333333,0.786666666667,0.9,0.833333333333,P00330_ADH1,P02671_FGA
