protein, frequency
A0A087WV47_IGHG1,4
A0A087WZM2_RNASET2,38
B4E1Z4_CFB,23
B7Z6Z4_MYL6,66
CON__P00761,40
CON__P02768_1_ALB,16
P02769_BSA,74
D6RF35_GC,2
P04406_GAPDH,17
P0C0L5_C4B,62
Q14697_2_GANAB,13
Q9NZL9_MAT2B,5
P00330_ADH1,36
P00450_CP,13
P00489_GPB,4
P00738_HP,39
P00924_ENO1,77
P01008_SERPINC1,6
P01023_A2M,32
P01024_C3,23
P01036_CST4,70
P01037_CST1,9
P01859_IGHG2,23
P02675_FGB,4
P02750_LRG1,2
P02763_ORM1,19
P02787_TF,13
P02790_HPX,10
P05386_RPLP1,4
P07339_CTSD,8
P09228_CST2,18
P14174_MIF,7
P23280_CA6,18
P52209_PGD,9
P61586_RHOA,9
P62937_PPIA,18
Q08188_TGM3,6
Q99879_HIST1H2BM,2
Q9NQ38_3_SPINK5,1
