protein, frequency
Q9HC84_MUC5B,111
P12814_3_ACTN1,30
P26038_MSN,16
A0A087X2C0,61
P05164_3_MPO,26
Q06830_PRDX1,109
P01036_CST4,430
Q99879_HIST1H2BM,3
P37837_TALDO1,93
B4E1Z4_CFB,130
P30740_SERPINB1,66
Q8TAX7_MUC7,91
P14550_AKR1A1,13
P04280_PRB1,57
P61626_LYZ,104
Q14847_LASP1,97
CON__Q3MHH8,106
P08311_CTSG,50
P28325_CST5,124
P01767,62
Q01518_CAP1,81
P68032_ACTC1,110
P09960_LTA4H,35
P68871_HBB,109
P07108_6_DBI,54
B1AK88_CAPZB,106
P02760_AMBP,42
P04264_KRT1,51
P62942_FKBP1A,31
Q9HD89_RETN,117
Q14508_WFDC2,28
P19961_AMY2B,11
P14780_MMP9,102
P01779,54
Q9UG63_2_ABCF2,114
P16401_HIST1H1B,102
Q9BQR3_PRSS27,105
P78417_GSTO1,17
P00450_CP,19
P11142_HSPA8,5
P68431_HIST1H3A,55
Q07654_TFF3,84
CON__P13645_KRT10,57
D6RF35_GC,8
O75083_WDR1,140
P04792_HSPB1,25
Q99536_VAT1,99
P01023_A2M,194
P00924_ENO1,4392
P07237_P4HB,16
P02647_APOA1,30
P00491_PNP,106
J3KPA1_CRISP3,90
P07737_PFN1,93
CON__P02768_1_ALB,21
A0A075B6P5,25
P06753_2_TPM3,94
P52209_PGD,35
P19823_ITIH2,98
Q01469_FABP5,60
P0C0L5_C4B,359
P04406_GAPDH,103
CON__P08779_KRT16,11
Q14697_2_GANAB,97
P05109_S100A8,100
H0YBX6_UBE2V2,79
P14174_MIF,42
A0A0A0MS15,98
P01861_IGHG4,84
P18669_PGAM1,84
P00558_PGK1,71
Q08380_LGALS3BP,90
Q9NZL9_MAT2B,52
P80748,120
P31151_S100A7,106
Q6P5S2_C6orf58,106
P06733_ENO1,111
P61158_ACTR3,20
Q14CN2_CLCA4,59
P23284_PPIB,63
A0A087WW89,31
E7EQR4_EZR,105
O60888_2_CUTA,113
P00738_HP,242
P31947_SFN,17
A0A087WZM2_RNASET2,315
P69905_HBA1,106
P30044_PRDX5,112
Q9BRF8_CPPED1,79
C9JV77_AHSG,20
A0A087WVW2_IGHG3,147
CON__P00761,219
P52907_CAPZA1,25
P01009_SERPINA1,174
P07858_CTSB,98
P13688_CEACAM1,70
Q68D86_CCDC102B,107
P62328_TMSB4X,51
P50395_GDI2,106
P68371_TUBB4B,50
P59665_DEFA1,95
P16402_HIST1H1D,97
P20618_PSMB1,105
P0C0S8_HIST1H2AG,11
P01859_IGHG2,76
Q9UBC9_SPRR3,12
O00391_QSOX1,98
P31949_S100A11,114
P16403_HIST1H1C,11
P01717,50
P04745_AMY1A,70
A0A087WZH9,11
P10412_HIST1H1E,129
P04004_VTN,22
P10909_2_CLU,101
P09228_CST2,107
P06396_GSN,104
Q32Q12_NME1_NME2,98
P22532_SPRR2D,104
P01593,28
P02814_SMR3B,101
P07996_THBS1,30
P29401_2_TKT,101
Q02487_DSC2,55
P01622,96
P09382_LGALS1,125
P31146_CORO1A,26
P17858_PFKL,113
P02753_RBP4,111
P35321_SPRR1A,61
P11413_2_G6PD,93
P14618_PKM2,81
P01024_C3,85
P06702_S100A9,105
P00338_3_LDHA,66
P59998_3_ARPC4,109
P01623,16
O00764_PDXK,84
P02788_LTF,55
P29508_SERPINB3,118
B7Z6Z4_MYL6,496
P04083_ANXA1,105
P00330_ADH1,154
P01624,36
Q8N4F0_BPIFB2,106
Q08188_TGM3,15
P01616,120
P18510_2_IL1RN,104
P02671_FGA,122
Q9UGM3_6_DMBT1,106
P62937_PPIA,106
CON__P02538_KRT6A,119
P02769_BSA,475
P23280_CA6,49
P13797_PLS3,97
