*N,acc_tree,groups
3,0.861111111111,P22314_UBA1,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P22314_UBA1,P09960_LTA4H,P00330_ADH1
3,0.861111111111,P22314_UBA1,P02760_AMBP,P00330_ADH1
3,0.861111111111,P22314_UBA1,P31946_2,P00330_ADH1
3,0.861111111111,P22314_UBA1,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P22314_UBA1,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P22314_UBA1,P00330_ADH1,P02763_ORM1
3,0.861111111111,P22314_UBA1,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,P22314_UBA1,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P22314_UBA1,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P22314_UBA1,P01009_SERPINA1,P02769_BSA
3,0.861111111111,P02675_FGB,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P02675_FGB,P01042_2_KNG1,P00330_ADH1
3,0.861111111111,P02675_FGB,P02647_APOA1,P00330_ADH1
3,0.861111111111,P02675_FGB,P52209_PGD,P00330_ADH1
3,0.861111111111,P02675_FGB,P14174_MIF,P00330_ADH1
3,0.861111111111,P02675_FGB,P02760_AMBP,P00330_ADH1
3,0.861111111111,P02675_FGB,P31946_2,P00330_ADH1
3,0.861111111111,P02675_FGB,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P02675_FGB,P00330_ADH1,P02763_ORM1
3,0.861111111111,P02675_FGB,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,P02675_FGB,P00330_ADH1,P02787_TF
3,0.861111111111,P02675_FGB,P00330_ADH1,P01008_SERPINC1
3,0.861111111111,P02675_FGB,P01009_SERPINA1,P02769_BSA
3,0.861111111111,P07996_THBS1,B4E1Z4_CFB,P00330_ADH1
3,0.861111111111,P07996_THBS1,P02753_RBP4,P00330_ADH1
3,0.861111111111,P07996_THBS1,P02647_APOA1,P00330_ADH1
3,0.861111111111,P07996_THBS1,P31946_2,P00330_ADH1
3,0.861111111111,P07996_THBS1,Q14697_2_GANAB,P00330_ADH1
3,0.861111111111,P07996_THBS1,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P07996_THBS1,P01009_SERPINA1,P02769_BSA
3,0.861111111111,B4E1Z4_CFB,P01042_2_KNG1,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,CON__P35527_KRT9,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P02753_RBP4,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P02647_APOA1,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P52209_PGD,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P01763,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P14174_MIF,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P09211_GSTP1,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P01859_IGHG2,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P09960_LTA4H,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P02760_AMBP,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P31946_2,P00330_ADH1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,O00391_QSOX1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P01009_SERPINA1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P02763_ORM1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,C9JC84_FGG
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,O95274_LYPD3
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,Q14974_KPNB1
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P02787_TF
3,0.861111111111,B4E1Z4_CFB,P00330_ADH1,P62937_PPIA
3,0.861111111111,P01042_2_KNG1,CON__P35527_KRT9,P00330_ADH1
3,0.861111111111,P01042_2_KNG1,P52209_PGD,P00330_ADH1
3,0.861111111111,P01042_2_KNG1,P14174_MIF,P00330_ADH1
3,0.861111111111,P01042_2_KNG1,P31946_2,P00330_ADH1
3,0.861111111111,P01042_2_KNG1,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P01042_2_KNG1,P00330_ADH1,C9JC84_FGG
3,0.861111111111,P01042_2_KNG1,P00330_ADH1,Q9UBG3_CRNN
3,0.861111111111,P01042_2_KNG1,P00330_ADH1,P02787_TF
3,0.861111111111,P01042_2_KNG1,P00330_ADH1,P02769_BSA
3,0.861111111111,A0A087WVW2_IGHG3,CON__P35527_KRT9,P00330_ADH1
3,0.861111111111,A0A087WVW2_IGHG3,P00330_ADH1,P02763_ORM1
3,0.861111111111,A0A087WVW2_IGHG3,P00330_ADH1,Q9NQ38_3_SPINK5
3,0.861111111111,A0A087WVW2_IGHG3,P00330_ADH1,P62937_PPIA
3,0.861111111111,P18669_PGAM1,P01859_IGHG2,P00330_ADH1
3,0.861111111111,P18669_PGAM1,P00330_ADH1,O00391_QSOX1
3,0.861111111111,P18669_PGAM1,P00330_ADH1,P62937_PPIA
3,0.861111111111,CON__P35527_KRT9,P52209_PGD,P00330_ADH1
3,0.861111111111,CON__P35527_KRT9,P01763,P00330_ADH1
3,0.861111111111,CON__P35527_KRT9,P01859_IGHG2,P00330_ADH1
3,0.861111111111,CON__P35527_KRT9,P09960_LTA4H,P00330_ADH1
