protein, frequency
A0A087WV47_IGHG1,197
A0A087WZM2_RNASET2,156
B4E1Z4_CFB,176
B7Z6Z4_MYL6,298
CON__P00761,578
CON__P02768_1_ALB,250
P02769_BSA,686
D6RF35_GC,349
P04406_GAPDH,208
P0C0L5_C4B,332
Q14697_2_GANAB,405
Q9NZL9_MAT2B,320
P00330_ADH1,698
P00450_CP,235
P00489_GPB,667
P00738_HP,200
P00924_ENO1,412
P01008_SERPINC1,352
P01023_A2M,334
P01024_C3,240
P01036_CST4,221
P01037_CST1,225
P01859_IGHG2,233
P02675_FGB,235
P02750_LRG1,128
P02763_ORM1,235
P02787_TF,304
P02790_HPX,184
P05386_RPLP1,207
P07339_CTSD,346
P09228_CST2,288
P14174_MIF,257
P23280_CA6,280
P52209_PGD,280
P61586_RHOA,259
P62937_PPIA,314
Q08188_TGM3,179
Q99879_HIST1H2BM,209
Q9NQ38_3_SPINK5,295
