protein, frequency
A0A087WV47_IGHG1,3
A0A087WZM2_RNASET2,34
B4E1Z4_CFB,24
B7Z6Z4_MYL6,70
CON__P00761,37
CON__P02768_1_ALB,15
P02769_BSA,89
D6RF35_GC,5
P04406_GAPDH,29
P0C0L5_C4B,68
Q14697_2_GANAB,11
Q9NZL9_MAT2B,1
P00330_ADH1,25
P00450_CP,16
P00489_GPB,2
P00738_HP,42
P00924_ENO1,82
P01008_SERPINC1,10
P01023_A2M,26
P01024_C3,28
P01036_CST4,62
P01037_CST1,10
P01859_IGHG2,21
P02675_FGB,4
P02750_LRG1,1
P02763_ORM1,17
P02787_TF,12
P02790_HPX,12
P05386_RPLP1,3
P07339_CTSD,8
P09228_CST2,19
P14174_MIF,8
P23280_CA6,15
P52209_PGD,9
P61586_RHOA,9
P62937_PPIA,19
Q08188_TGM3,1
Q99879_HIST1H2BM,2
Q9NQ38_3_SPINK5,3
