*N,acc_tree,groups
2,0.833333333333,A0A087WZM2_RNASET2,P02769_BSA
2,0.833333333333,B7Z6Z4_MYL6,CON__P00761
2,0.833333333333,B7Z6Z4_MYL6,P02769_BSA
2,0.888888888889,B7Z6Z4_MYL6,P0C0L5_C4B
2,0.833333333333,CON__P00761,CON__P02768_1_ALB
2,0.833333333333,CON__P00761,Q9NZL9_MAT2B
2,0.833333333333,CON__P00761,P00450_CP
2,0.833333333333,CON__P00761,P00738_HP
2,0.833333333333,CON__P00761,P00924_ENO1
2,0.833333333333,CON__P00761,P23280_CA6
2,0.833333333333,CON__P02768_1_ALB,P02769_BSA
2,0.916666666667,CON__P02768_1_ALB,P61586_RHOA
2,0.888888888889,P02769_BSA,P0C0L5_C4B
2,0.833333333333,P02769_BSA,P01859_IGHG2
2,0.833333333333,P02769_BSA,Q9NQ38_3_SPINK5
2,0.944444444444,P0C0L5_C4B,P00924_ENO1
2,0.944444444444,P00330_ADH1,P01023_A2M
2,0.861111111111,P00330_ADH1,P61586_RHOA
2,0.833333333333,P00738_HP,P62937_PPIA
2,0.833333333333,P00924_ENO1,P14174_MIF
2,0.833333333333,P01023_A2M,P01037_CST1
2,0.888888888889,P01023_A2M,P14174_MIF
2,0.833333333333,P01023_A2M,P52209_PGD
2,0.916666666667,P01023_A2M,P61586_RHOA
2,0.944444444444,P01023_A2M,P62937_PPIA
2,0.833333333333,P02790_HPX,P61586_RHOA
