protein, frequency
A0A024R6X1_CES2,0
A0A087WVW2_IGHG3,0
A0A087WV47_IGHG1,0
A0A087WZH9,0
A0A087WZM2_RNASET2,0
A0A075B6P5,0
Q06830_PRDX1,0
P15153_RAC2,2
P09429_HMGB1,0
P62258_YWHAE,0
B4E1Z4_CFB,0
B7Z6Z4_MYL6,0
C9JC84_FGG,0
P30838_ALDH3A1,0
CON__P00761,0
CON__P01966,0
CON__P02538_KRT6A,0
CON__P02768_1_ALB,0
P02769_BSA,0
CON__P35527_KRT9,0
CON__Q3MHH8,1
D6RF35_GC,0
P04406_GAPDH,0
P55786_NPEPPS,0
P0C0L5_C4B,0
P22079_LPO,0
Q14697_2_GANAB,0
Q9NZL9_MAT2B,0
O00391_QSOX1,0
O43707_ACTN4,0
O95274_LYPD3,0
P00330_ADH1,0
P00338_3_LDHA,0
P00450_CP,0
P00489_GPB,0
P00558_PGK1,0
P00738_HP,0
P00924_ENO1,0
P01008_SERPINC1,0
P01009_SERPINA1,0
P01023_A2M,0
P01024_C3,0
P01034_CST3,0
P01036_CST4,0
P01037_CST1,0
P01042_2_KNG1,0
P01714,0
P01717,0
P01763,0
P01780,0
P01859_IGHG2,0
P01861_IGHG4,0
P02647_APOA1,0
P02671_FGA,0
P02675_FGB,0
P02750_LRG1,0
P02753_RBP4,0
P02760_AMBP,0
P02763_ORM1,0
P02787_TF,0
P02790_HPX,0
P03973_SLPI,0
P04083_ANXA1,0
P04196_HRG,0
P04217_A1BG,0
P04792_HSPB1,0
P05164_3_MPO,0
P05386_RPLP1,0
P06733_ENO1,0
P07108_6_DBI,0
P07237_P4HB,0
P07339_CTSD,0
P07900_2_HSP90AA1,0
P07996_THBS1,0
P08311_CTSG,0
P08603_CFH,0
P09211_GSTP1,0
P09228_CST2,0
P11021_HSPA5,0
P11142_HSPA8,0
P12273_PIP,0
P12429_ANXA3,0
P12814_3_ACTN1,0
P14174_MIF,0
P17174_GOT1,0
P17931_LGALS3,0
P18669_PGAM1,0
P22314_UBA1,0
P23280_CA6,0
P31946_2,0
P31947_SFN,0
P35579_MYH9,0
P36952_SERPINB5,0
P37802_2_TAGLN2,0
P52209_PGD,0
P52566_ARHGDIB,0
P52907_CAPZA1,0
P53634_CTSC,0
P60174_TPI1,0
P61586_RHOA,0
P62805_HIST1H4A,0
P62937_PPIA,2
P68371_TUBB4B,1
P68871_HBB,0
P69905_HBA1,0
Q02413_DSG1,0
Q02487_DSC2,0
Q07654_TFF3,0
Q08188_TGM3,0
Q08380_LGALS3BP,0
Q14CN2_CLCA4,0
Q99879_HIST1H2BM,0
Q9NQ38_3_SPINK5,0
Q9UBG3_CRNN,0
