protein, frequency
A0A087WV47_IGHG1,4
A0A087WZM2_RNASET2,40
B4E1Z4_CFB,18
B7Z6Z4_MYL6,69
CON__P00761,37
CON__P02768_1_ALB,14
P02769_BSA,83
D6RF35_GC,3
P04406_GAPDH,29
P0C0L5_C4B,73
Q14697_2_GANAB,13
Q9NZL9_MAT2B,3
P00330_ADH1,30
P00450_CP,9
P00489_GPB,4
P00738_HP,41
P00924_ENO1,75
P01008_SERPINC1,9
P01023_A2M,31
P01024_C3,13
P01036_CST4,62
P01037_CST1,10
P01859_IGHG2,21
P02675_FGB,5
P02750_LRG1,7
P02763_ORM1,27
P02787_TF,14
P02790_HPX,15
P05386_RPLP1,5
P07339_CTSD,7
P09228_CST2,16
P14174_MIF,11
P23280_CA6,17
P52209_PGD,8
P61586_RHOA,8
P62937_PPIA,23
Q08188_TGM3,3
Q99879_HIST1H2BM,4
Q9NQ38_3_SPINK5,3
