protein, frequency
A0A087WV47_IGHG1,8
A0A087WZM2_RNASET2,32
B4E1Z4_CFB,21
B7Z6Z4_MYL6,67
CON__P00761,34
CON__P02768_1_ALB,11
P02769_BSA,92
D6RF35_GC,4
P04406_GAPDH,29
P0C0L5_C4B,64
Q14697_2_GANAB,13
Q9NZL9_MAT2B,3
P00330_ADH1,32
P00450_CP,13
P00489_GPB,6
P00738_HP,31
P00924_ENO1,72
P01008_SERPINC1,8
P01023_A2M,21
P01024_C3,20
P01036_CST4,68
P01037_CST1,8
P01859_IGHG2,17
P02675_FGB,7
P02750_LRG1,3
P02763_ORM1,21
P02787_TF,11
P02790_HPX,17
P05386_RPLP1,5
P07339_CTSD,10
P09228_CST2,21
P14174_MIF,8
P23280_CA6,17
P52209_PGD,8
P61586_RHOA,11
P62937_PPIA,24
Q08188_TGM3,3
Q99879_HIST1H2BM,2
Q9NQ38_3_SPINK5,4
