*N,acc_tree,groups
1,0.833333333333,P02769_BSA
1,0.833333333333,CON__P00761
2,0.833333333333,Q14697_2_GANAB,P00489_GPB
2,0.833333333333,P02769_BSA,CON__P00761
3,0.833333333333,Q14697_2_GANAB,P02769_BSA,P00489_GPB
