*N,acc_tree,groups
2,0.833333333333,A0A075B6P5,Q9HC84_MUC5B
2,0.833333333333,B4E1Z4_CFB,P01036_CST4
2,0.888888888889,CON__P00761,P00738_HP
2,0.861111111111,P02769_BSA,P0C0L5_C4B
2,0.861111111111,P02769_BSA,P01036_CST4
2,0.833333333333,P02769_BSA,P01859_IGHG2
2,0.833333333333,O75083_WDR1,Q08380_LGALS3BP
2,0.888888888889,P0C0L5_C4B,P01036_CST4
2,0.833333333333,Q9NZL9_MAT2B,P01717
2,0.833333333333,P00330_ADH1,P01036_CST4
2,0.833333333333,P00330_ADH1,P09228_CST2
2,0.833333333333,P01009_SERPINA1,P04792_HSPB1
