protein, frequency
A0A087WV47_IGHG1,38
A0A087WZM2_RNASET2,38
B4E1Z4_CFB,38
B7Z6Z4_MYL6,38
CON__P00761,38
CON__P02768_1_ALB,38
P02769_BSA,38
D6RF35_GC,38
P04406_GAPDH,38
P0C0L5_C4B,38
Q14697_2_GANAB,38
Q9NZL9_MAT2B,38
P00330_ADH1,38
P00450_CP,38
P00489_GPB,38
P00738_HP,38
P00924_ENO1,38
P01008_SERPINC1,38
P01023_A2M,38
P01024_C3,38
P01036_CST4,38
P01037_CST1,38
P01859_IGHG2,38
P02675_FGB,38
P02750_LRG1,38
P02763_ORM1,38
P02787_TF,38
P02790_HPX,38
P05386_RPLP1,38
P07339_CTSD,38
P09228_CST2,38
P14174_MIF,38
P23280_CA6,38
P52209_PGD,38
P61586_RHOA,38
P62937_PPIA,38
Q08188_TGM3,38
Q99879_HIST1H2BM,38
Q9NQ38_3_SPINK5,38
