protein, frequency
P09228_CST2,23
Q02413_DSG1,12
P12429_ANXA3,4
P22079_LPO,6
P62805_HIST1H4A,10
P60174_TPI1,7
Q06830_PRDX1,6
A0A024R6X1_CES2,6
P22314_UBA1,21
P02675_FGB,17
P07996_THBS1,8
B4E1Z4_CFB,32
P01042_2_KNG1,14
A0A087WVW2_IGHG3,4
P18669_PGAM1,3
CON__P35527_KRT9,15
P02753_RBP4,17
P02647_APOA1,13
P52209_PGD,29
P01763,8
P02790_HPX,5
P14174_MIF,13
P09211_GSTP1,4
P01859_IGHG2,20
P09960_LTA4H,11
P01034_CST3,3
P02760_AMBP,20
P00489_GPB,7
P31946_2,32
Q14697_2_GANAB,9
P00330_ADH1,250
O00391_QSOX1,15
P01009_SERPINA1,21
P02763_ORM1,11
C9JC84_FGG,11
Q9NQ38_3_SPINK5,10
O95274_LYPD3,3
Q9UBG3_CRNN,11
Q14974_KPNB1,16
P02787_TF,20
P62937_PPIA,6
P01008_SERPINC1,18
P02769_BSA,18
