*N,acc_tree,groups
2,0.888888888889,P01036_CST4,P00330_ADH1
2,0.944444444444,P01036_CST4,P02769_BSA
3,0.888888888889,P00489_GPB,P01036_CST4,P00330_ADH1
3,0.888888888889,P00489_GPB,P01036_CST4,P02769_BSA
