protein, frequency
A0A087WV47_IGHG1,10
A0A087WZM2_RNASET2,46
B4E1Z4_CFB,19
B7Z6Z4_MYL6,61
CON__P00761,32
CON__P02768_1_ALB,13
P02769_BSA,90
D6RF35_GC,3
P04406_GAPDH,21
P0C0L5_C4B,70
Q14697_2_GANAB,16
Q9NZL9_MAT2B,1
P00330_ADH1,33
P00450_CP,11
P00489_GPB,4
P00738_HP,34
P00924_ENO1,77
P01008_SERPINC1,7
P01023_A2M,32
P01024_C3,21
P01036_CST4,71
P01037_CST1,16
P01859_IGHG2,16
P02675_FGB,4
P02750_LRG1,5
P02763_ORM1,21
P02787_TF,18
P02790_HPX,13
P05386_RPLP1,2
P07339_CTSD,6
P09228_CST2,17
P14174_MIF,15
P23280_CA6,18
P52209_PGD,11
P61586_RHOA,7
P62937_PPIA,24
Q08188_TGM3,5
Q99879_HIST1H2BM,2
Q9NQ38_3_SPINK5,4
