protein, frequency
A0A087WV47_IGHG1,8
A0A087WZM2_RNASET2,31
B4E1Z4_CFB,26
B7Z6Z4_MYL6,70
CON__P00761,34
CON__P02768_1_ALB,16
P02769_BSA,88
D6RF35_GC,4
P04406_GAPDH,20
P0C0L5_C4B,62
Q14697_2_GANAB,14
Q9NZL9_MAT2B,5
P00330_ADH1,28
P00450_CP,12
P00489_GPB,5
P00738_HP,45
P00924_ENO1,73
P01008_SERPINC1,5
P01023_A2M,27
P01024_C3,18
P01036_CST4,71
P01037_CST1,11
P01859_IGHG2,21
P02675_FGB,4
P02750_LRG1,3
P02763_ORM1,18
P02787_TF,19
P02790_HPX,11
P05386_RPLP1,6
P07339_CTSD,6
P09228_CST2,18
P14174_MIF,10
P23280_CA6,17
P52209_PGD,7
P61586_RHOA,4
P62937_PPIA,19
Q08188_TGM3,7
Q99879_HIST1H2BM,2
Q9NQ38_3_SPINK5,4
