protein, frequency
A0A087WV47_IGHG1,144
A0A087WZM2_RNASET2,119
B4E1Z4_CFB,134
B7Z6Z4_MYL6,195
CON__P00761,448
CON__P02768_1_ALB,174
P02769_BSA,642
D6RF35_GC,232
P04406_GAPDH,128
P0C0L5_C4B,239
Q14697_2_GANAB,264
Q9NZL9_MAT2B,214
P00330_ADH1,693
P00450_CP,170
P00489_GPB,601
P00738_HP,122
P00924_ENO1,253
P01008_SERPINC1,225
P01023_A2M,252
P01024_C3,168
P01036_CST4,141
P01037_CST1,157
P01859_IGHG2,164
P02675_FGB,155
P02750_LRG1,85
P02763_ORM1,166
P02787_TF,179
P02790_HPX,125
P05386_RPLP1,155
P07339_CTSD,221
P09228_CST2,193
P14174_MIF,191
P23280_CA6,185
P52209_PGD,179
P61586_RHOA,158
P62937_PPIA,218
Q08188_TGM3,133
Q99879_HIST1H2BM,159
Q9NQ38_3_SPINK5,196
