protein, frequency
A0A087WV47_IGHG1,6
A0A087WZM2_RNASET2,37
B4E1Z4_CFB,22
B7Z6Z4_MYL6,76
CON__P00761,36
CON__P02768_1_ALB,11
P02769_BSA,82
D6RF35_GC,6
P04406_GAPDH,23
P0C0L5_C4B,74
Q14697_2_GANAB,11
Q9NZL9_MAT2B,4
P00330_ADH1,28
P00450_CP,13
P00489_GPB,1
P00738_HP,37
P00924_ENO1,78
P01008_SERPINC1,6
P01023_A2M,33
P01024_C3,17
P01036_CST4,66
P01037_CST1,10
P01859_IGHG2,20
P02675_FGB,6
P02750_LRG1,2
P02763_ORM1,19
P02787_TF,15
P02790_HPX,14
P05386_RPLP1,1
P07339_CTSD,14
P09228_CST2,16
P14174_MIF,8
P23280_CA6,20
P52209_PGD,4
P61586_RHOA,9
P62937_PPIA,23
Q08188_TGM3,9
Q99879_HIST1H2BM,1
Q9NQ38_3_SPINK5,3
