*N,acc_tree,groups
1,0.833333333333,CON__P00761
1,0.833333333333,P02769_BSA
2,0.833333333333,P00489_GPB,P61586_RHOA
2,0.888888888889,P61586_RHOA,P02769_BSA
2,0.833333333333,CON__P00761,P02769_BSA
3,0.861111111111,P00489_GPB,P61586_RHOA,Q14697_2_GANAB
3,0.861111111111,P00489_GPB,P61586_RHOA,P02769_BSA
3,0.833333333333,P61586_RHOA,CON__P00761,P02769_BSA
