*N,acc_tree,groups
2,0.833333333333,Q14697_2_GANAB,P00330_ADH1
2,0.833333333333,Q14697_2_GANAB,P00489_GPB
2,0.833333333333,Q14697_2_GANAB,P01023_A2M
2,0.861111111111,P00330_ADH1,P01023_A2M
2,0.833333333333,P00489_GPB,P01023_A2M
2,0.833333333333,P00489_GPB,P61586_RHOA
2,0.861111111111,P00738_HP,P61586_RHOA
2,0.833333333333,P00924_ENO1,P01023_A2M
2,0.916666666667,P01023_A2M,P01036_CST4
2,0.833333333333,P01023_A2M,P01037_CST1
2,0.916666666667,P01023_A2M,P61586_RHOA
2,0.916666666667,P01859_IGHG2,P61586_RHOA
