classifier;inserted_proteins-mean;inserted_proteins-std
SVM_Linear;0.654761904762;0.0
SVM_Poly;0.714285714286;0.0
SVM_RBF;0.732142857143;0.0
NSC;0.779761904762;0.0
Gaussian Naive Bayes;0.732142857143;0.0
Decision Tree;0.779761904762;0.0
