protein,protein frequency
P30101_PDIA3       ,0                  
P30740_SERPINB1    ,0                  
P31025_LCN1        ,0                  
P31146_CORO1A      ,0                  
P31151_S100A7      ,0                  
P31946_2           ,138                
P31947_SFN         ,3                  
P31949_S100A11     ,0                  
P32926_DSG3        ,0                  
P35321_SPRR1A      ,0                  
P35579_MYH9        ,3                  
P36952_SERPINB5    ,51                 
P37802_2_TAGLN2    ,65                 
P37837_TALDO1      ,0                  
P40121_CAPG        ,0                  
B1AK88_CAPZB       ,0                  
P50395_GDI2        ,0                  
P52209_PGD         ,41                 
P52566_ARHGDIB     ,5                  
P52907_CAPZA1      ,0                  
P53634_CTSC        ,156                
P55058_PLTP        ,0                  
P59665_DEFA1       ,6                  
P59998_3_ARPC4     ,0                  
P60174_TPI1        ,88                 
P61158_ACTR3       ,0                  
P61586_RHOA        ,152                
P61626_LYZ         ,0                  
P61769_B2M         ,0                  
P62328_TMSB4X      ,0                  
P62805_HIST1H4A    ,105                
P62937_PPIA        ,84                 
P62942_FKBP1A      ,0                  
P63261_ACTG1       ,0                  
P63313_TMSB10      ,0                  
P68032_ACTC1       ,0                  
P68371_TUBB4B      ,0                  
P68871_HBB         ,2                  
P69905_HBA1        ,47                 
P78417_GSTO1       ,0                  
X6R8F3_LCN2        ,0                  
P80748             ,0                  
Q01469_FABP5       ,0                  
Q01518_CAP1        ,0                  
Q02413_DSG1        ,19                 
Q02487_DSC2        ,3                  
Q07654_TFF3        ,0                  
Q08188_TGM3        ,53                 
Q08380_LGALS3BP    ,0                  
Q14508_WFDC2       ,0                  
Q14847_LASP1       ,0                  
Q14974_KPNB1       ,0                  
Q14CN2_CLCA4       ,2                  
H0YBX6_UBE2V2      ,0                  
A0A087WV23_SH3BGRL3,34                 
Q68D86_CCDC102B    ,0                  
Q6P5S2_C6orf58     ,0                  
Q8N4F0_BPIFB2      ,0                  
Q8TAX7_MUC7        ,0                  
Q8TDL5_BPIFB1      ,0                  
Q96DA0_ZG16B       ,0                  
Q96DR5_BPIFA2      ,0                  
Q99536_VAT1        ,0                  
Q99879_HIST1H2BM   ,158                
Q9BQR3_PRSS27      ,0                  
Q9BRA2_TXNDC17     ,19                 
Q9BRF8_CPPED1      ,0                  
Q9HC84_MUC5B       ,0                  
Q9HD89_RETN        ,0                  
Q9NQ38_3_SPINK5    ,92                 
Q9UBC9_SPRR3       ,0                  
Q9UBG3_CRNN        ,0                  
Q9UBX7_3_KLK11     ,0                  
Q9UGM3_6_DMBT1     ,0                  
Q9UIV8_SERPINB13   ,0                  
Q9UKR3_KLK13       ,0                  
V9HW75_NUCB2       ,0                  
