protein,protein frequency
A0A024R6X1_CES2    ,0                  
A0A075B6L0_IGLC3   ,6                  
A0A087WVW2_IGHG3   ,36                 
P06331             ,0                  
A0A075B6R9         ,0                  
A0A087WSX4         ,0                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,0                  
A0A087WX49_IGLL5   ,0                  
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,12                 
A0A087WW89         ,0                  
P06753_2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,0                  
A0A087WZH9         ,0                  
A0A087WZM2_RNASET2 ,66                 
A0A087WZW8         ,0                  
A0A087X130         ,0                  
A0A075B6P5         ,11                 
A0A087X2C0         ,0                  
Q06830_PRDX1       ,3                  
P13797_PLS3        ,0                  
A8K2U0_A2ML1       ,1                  
P08670_VIM         ,0                  
P15153_RAC2        ,7                  
P09429_HMGB1       ,41                 
P62258_YWHAE       ,13                 
B4E1Z4_CFB         ,41                 
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,96                 
P06454_PTMA        ,0                  
P40925_3_MDH1      ,0                  
P51149_RAB7A       ,0                  
C9JC84_FGG         ,3                  
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,0                  
P30838_ALDH3A1     ,1                  
C9JV77_AHSG        ,49                 
O15145_ARPC3       ,0                  
CON__P00761        ,216                
CON__P01966        ,0                  
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,191                
P02769_BSA         ,216                
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,35                 
CON__P13646_1      ,0                  
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,4                  
O75083_WDR1        ,0                  
D6RF35_GC          ,36                 
E5RHG6_TBCA        ,12                 
E7EQR4_EZR         ,43                 
P02788_LTF         ,0                  
E7EX29_YWHAZ       ,0                  
P04406_GAPDH       ,34                 
P11413_2_G6PD      ,0                  
P55786_NPEPPS      ,74                 
O00764_PDXK        ,0                  
P0C0L5_C4B         ,36                 
P22079_LPO         ,38                 
P61160_2_ACTR2     ,0                  
Q14697_2_GANAB     ,114                
P09382_LGALS1      ,0                  
P17858_PFKL        ,1                  
P06576_ATP5B       ,0                  
Q9NZL9_MAT2B       ,216                
J3KPA1_CRISP3      ,10                 
P04075_2_ALDOA     ,0                  
P68431_HIST1H3A    ,0                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,66                 
O15511_2_ARPC5     ,0                  
O43707_ACTN4       ,0                  
O60888_2_CUTA      ,0                  
O75594_PGLYRP1     ,0                  
O95274_LYPD3       ,124                
O95336_PGLS        ,1                  
P00330_ADH1        ,216                
P00338_3_LDHA      ,1                  
P00450_CP          ,67                 
P00489_GPB         ,216                
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,134                
P00924_ENO1        ,216                
P01008_SERPINC1    ,92                 
P01009_SERPINA1    ,17                 
P01023_A2M         ,126                
P01024_C3          ,69                 
P01033_TIMP1       ,0                  
P01034_CST3        ,6                  
P01036_CST4        ,90                 
P01037_CST1        ,32                 
P01042_2_KNG1      ,11                 
P01591_IGJ         ,0                  
P01593             ,0                  
P01598             ,0                  
P01616             ,0                  
P01622             ,0                  
P01623             ,0                  
P01624             ,2                  
P06314_IGKV4_1     ,0                  
P01714             ,38                 
P01717             ,16                 
P01763             ,1                  
P01767             ,0                  
P01779             ,1                  
P01780             ,6                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,100                
P01861_IGHG4       ,0                  
P01876_IGHA1       ,0                  
P01877_IGHA2       ,0                  
P02647_APOA1       ,6                  
P02671_FGA         ,22                 
P02675_FGB         ,184                
P02750_LRG1        ,27                 
P02753_RBP4        ,24                 
P02760_AMBP        ,23                 
P02763_ORM1        ,66                 
P02787_TF          ,216                
P02790_HPX         ,43                 
P02814_SMR3B       ,0                  
P03973_SLPI        ,16                 
P04004_VTN         ,0                  
P04040_CAT         ,0                  
P04080_CSTB        ,2                  
P04083_ANXA1       ,4                  
P04196_HRG         ,2                  
P04217_A1BG        ,36                 
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04745_AMY1A       ,0                  
P04792_HSPB1       ,32                 
P04899_4_GNAI2     ,5                  
P05109_S100A8      ,0                  
P05164_3_MPO       ,7                  
P05386_RPLP1       ,98                 
P06396_GSN         ,0                  
P06702_S100A9      ,0                  
P06733_ENO1        ,36                 
A0A0A0MTS2_GPI     ,6                  
P06870_KLK1        ,0                  
P07108_6_DBI       ,0                  
P07237_P4HB        ,6                  
P07339_CTSD        ,36                 
P07737_PFN1        ,0                  
P07858_CTSB        ,1                  
P07900_2_HSP90AA1  ,4                  
P07996_THBS1       ,20                 
P08107_HSPA1A      ,0                  
P08238_HSP90AB1    ,1                  
P08246_ELANE       ,0                  
P08311_CTSG        ,86                 
P08571_CD14        ,0                  
P08603_CFH         ,4                  
P09211_GSTP1       ,11                 
P09228_CST2        ,36                 
P09960_LTA4H       ,0                  
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,0                  
P10599_TXN         ,3                  
P10909_2_CLU       ,0                  
P11021_HSPA5       ,2                  
P11142_HSPA8       ,12                 
P11215_2_ITGAM     ,0                  
P12273_PIP         ,11                 
P12429_ANXA3       ,26                 
P12814_3_ACTN1     ,4                  
P13688_CEACAM1     ,0                  
P13796_LCP1        ,0                  
P14174_MIF         ,66                 
P14550_AKR1A1      ,0                  
P14618_PKM2        ,0                  
P14780_MMP9        ,0                  
P16401_HIST1H1B    ,1                  
P16402_HIST1H1D    ,0                  
P16403_HIST1H1C    ,17                 
P17174_GOT1        ,0                  
P17931_LGALS3      ,6                  
P18510_2_IL1RN     ,0                  
P18669_PGAM1       ,0                  
P19961_AMY2B       ,0                  
P20061_TCN1        ,3                  
P20160_AZU1        ,0                  
P20618_PSMB1       ,0                  
P21333_FLNA        ,0                  
P22314_UBA1        ,16                 
Q32Q12_NME1_NME2   ,0                  
P22532_SPRR2D      ,0                  
P22894_MMP8        ,0                  
P23280_CA6         ,70                 
P23284_PPIB        ,4                  
P23381_WARS        ,0                  
E9PK25_CFL1        ,0                  
P24158_PRTN3       ,1                  
P25311_AZGP1       ,5                  
P26038_MSN         ,0                  
P28325_CST5        ,6                  
P29401_2_TKT       ,0                  
P29508_SERPINB3    ,0                  
P30044_PRDX5       ,0                  
P30101_PDIA3       ,0                  
P30740_SERPINB1    ,2                  
P31025_LCN1        ,0                  
P31146_CORO1A      ,0                  
P31151_S100A7      ,0                  
P31946_2           ,0                  
P31947_SFN         ,0                  
P31949_S100A11     ,0                  
P32926_DSG3        ,4                  
P35321_SPRR1A      ,0                  
P35579_MYH9        ,34                 
P36952_SERPINB5    ,6                  
P37802_2_TAGLN2    ,6                  
P37837_TALDO1      ,0                  
P40121_CAPG        ,0                  
B1AK88_CAPZB       ,0                  
P50395_GDI2        ,0                  
P52209_PGD         ,29                 
P52566_ARHGDIB     ,0                  
P52907_CAPZA1      ,0                  
P53634_CTSC        ,36                 
P55058_PLTP        ,0                  
P59665_DEFA1       ,36                 
P59998_3_ARPC4     ,0                  
P60174_TPI1        ,0                  
P61158_ACTR3       ,0                  
P61586_RHOA        ,125                
P61626_LYZ         ,6                  
P61769_B2M         ,0                  
P62328_TMSB4X      ,0                  
P62805_HIST1H4A    ,0                  
P62937_PPIA        ,66                 
P62942_FKBP1A      ,0                  
P63261_ACTG1       ,0                  
P63313_TMSB10      ,2                  
P68032_ACTC1       ,0                  
P68371_TUBB4B      ,12                 
P68871_HBB         ,14                 
P69905_HBA1        ,36                 
P78417_GSTO1       ,0                  
X6R8F3_LCN2        ,1                  
P80748             ,0                  
Q01469_FABP5       ,0                  
Q01518_CAP1        ,0                  
Q02413_DSG1        ,0                  
Q02487_DSC2        ,36                 
Q07654_TFF3        ,3                  
Q08188_TGM3        ,24                 
