,12.5fmol_C1,12.5fmol_C10,12.5fmol_C2,12.5fmol_C4,12.5fmol_C5,12.5fmol_C8,12.5fmol_Ro,25fmol_semtumor_S09,25fmol_semtumor_S36,25fmol_semtumor_S49,25fmol_semtumor_S57,25fmol_semtumor_S61,25fmol_semtumor_S64,25fmol_semtumor_S68,25fmol_semtumor_T16,50fmol_T1T2_S17,50fmol_T1T2_S57,50fmol_T1T2_S77,50fmol_T1T2_T12,50fmol_T1T2_T20,50fmol_T1T2_T22,50fmol_T1T2_T23
genes,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,12.5fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol
P62937_PPIA,27.57917,28.11202,27.16787,28.24916,27.73169,28.59761,27.39917,26.86985,27.74336,29.05615,27.33637,26.93944,28.14404,28.10774,27.7291,27.52126,27.84176,26.93337,27.53453,27.12849,27.66716,25.5844
P62942_FKBP1A,23.38271,23.61054,22.66934,22.36078,0,23.71502,22.96902,23.25278,22.85946,24.51081,22.50582,22.82361,22.97912,23.10998,23.19175,22.97493,22.56918,22.40403,22.97776,23.46787,22.94122,22.20051
P63261_ACTG1,30.18719,32.07038,30.56484,31.71682,29.97145,31.32823,31.06529,30.28714,30.32689,31.38195,30.48289,29.6834,31.59188,31.0633,31.11867,31.3391,30.69021,30.34053,30.25732,31866,30.65062,28.60721
P63313_TMSB10,0,21.89678,0,21.43715,0,22.11972,20.64509,0,0,21.92825,0,22.05547,22.23792,22.12263,22.45774,0,22.54128,21.79158,0,22.13129,22.26436,22.24502
P68032_ACTC1,0,23.82687,21.46428,23.83287,21.52234,22.60408,24.77399,21.87448,22.6299,24.76618,24.14523,22.8547,23.18995,22.67185,22.58788,23.22285,23.72161,22.71045,23.3995,22.7233,22.40463,21.64421
P68371_TUBB4B,21.19364,19.7774,23.00189,20.35606,0,20.64165,23.85405,0,22.04417,0,19.60239,19.23016,0,20.96578,0,19.12126,24.12589,19.83159,0,20.41007,20.32564,0
P68871_HBB,25.28616,33.46453,23.83942,28.73069,24.82784,28.67983,25.58176,28.55783,29.69997,28.32191,26.15948,25.49997,25.48996,29.20839,28.49816,29.71429,28.65335,28.9194,29.49167,28.98381,26.56339,28.51882
P69905_HBA1,24.98103,33.14294,23.15423,27.4263,24.09241,27.61386,24.76653,28.4773,29.21861,27.18886,24.50888,25.57404,24.81675,28.23146,27.54701,29.12529,27.13907,28.42758,29.47651,29.28507,26.56706,26.77417
P78417_GSTO1,23.31783,25.2203,22.62422,22.98968,0,22.60377,0,22.47417,0,23.13199,0,0,23.23991,23.02776,22.9237,21.98388,21.53341,0,0,23.58015,22.58481,22.32003
X6R8F3_LCN2,24.93003,26.4061,24.9276,24.80307,23.77254,25.80213,25.5625,23.96305,25.11803,28.29009,24.98915,23.92678,25.05933,24.96102,25.2907,27.29579,24.4587,24.23885,25.2893,25.35558,25.91522,26.11257
